post_id,mentor_id,target_level_num,required_education_num,is_open,is_available,capacity,program_enrollment_count,program_popularity_log,spots_left,spots_left_log,required_skill_count,avg_required_skill_level,program_difficulty_score,requirement_set,requirement_level_map,deadline,days_until_deadline,deadline_passed
26,1758,1,4,1,1,7,0,0.0,7,2.0794415416798357,3,2.3333333333333335,1.5333333333333334,"{106, 108, 109}","{108: 2, 106: 2, 109: 3}",2026-07-09 00:00:00,291,0
27,1758,1,4,1,1,8,0,0.0,8,2.1972245773362196,3,2.0,1.4,"{114, 110, 111}","{111: 1, 114: 2, 110: 3}",2026-07-13 00:00:00,295,0
28,1758,2,4,1,1,6,0,0.0,6,1.9459101490553132,3,3.0,2.4000000000000004,"{116, 117, 118}","{116: 2, 117: 3, 118: 4}",2026-06-02 00:00:00,254,0
30,4401,1,2,1,1,7,0,0.0,7,2.0794415416798357,3,2.0,1.4,"{68, 69, 70}","{70: 1, 69: 2, 68: 3}",2025-12-02 00:00:00,72,0
31,4401,2,5,1,1,7,0,0.0,7,2.0794415416798357,3,1.6666666666666667,1.8666666666666667,"{68, 69, 70}","{70: 1, 68: 2, 69: 2}",2026-06-06 00:00:00,258,0
33,2013,1,2,1,1,8,1,0.6931471805599453,7,2.0794415416798357,3,1.3333333333333333,1.1333333333333333,"{115, 110, 111}","{111: 1, 115: 1, 110: 2}",2025-10-27 00:00:00,36,0
34,2013,1,2,1,1,9,0,0.0,9,2.302585092994046,3,1.3333333333333333,1.1333333333333333,"{124, 126, 127}","{126: 1, 127: 1, 124: 2}",2026-06-25 00:00:00,277,0
36,1046,1,5,1,1,8,0,0.0,8,2.1972245773362196,2,3.5,2.0,"{25, 26}","{26: 3, 25: 4}",2026-06-26 00:00:00,278,0
37,1046,2,2,1,1,10,0,0.0,10,2.3978952727983707,2,2.0,2.0,"{48, 25}","{25: 2, 48: 2}",2026-06-16 00:00:00,268,0
40,623,1,2,1,1,6,0,0.0,6,1.9459101490553132,3,2.0,1.4,"{32, 33, 34}","{32: 1, 33: 2, 34: 3}",2026-07-07 00:00:00,289,0
42,623,2,1,1,1,6,0,0.0,6,1.9459101490553132,3,3.3333333333333335,2.533333333333333,"{25, 22, 23}","{25: 3, 23: 3, 22: 4}",2026-03-21 00:00:00,181,0
43,623,2,1,1,1,21,14,2.70805020110221,7,2.0794415416798357,3,2.0,2.0,"{24, 25, 23}","{24: 2, 25: 2, 23: 2}",2025-11-28 00:00:00,68,0
44,2347,1,4,1,1,9,0,0.0,9,2.302585092994046,3,2.0,1.4,"{72, 75, 71}","{71: 2, 72: 2, 75: 2}",2026-01-18 00:00:00,119,0
45,2347,1,5,1,1,8,0,0.0,8,2.1972245773362196,3,1.6666666666666667,1.2666666666666666,"{72, 73, 71}","{71: 1, 72: 2, 73: 2}",2025-10-31 00:00:00,40,0
46,2347,1,5,1,1,8,0,0.0,8,2.1972245773362196,3,1.6666666666666667,1.2666666666666666,"{72, 75, 71}","{72: 1, 71: 2, 75: 2}",2026-03-22 00:00:00,182,0
48,3152,1,4,1,1,7,0,0.0,7,2.0794415416798357,3,2.0,1.4,"{10, 18, 13}","{10: 1, 13: 2, 18: 3}",2025-09-23 00:00:00,2,0
49,3152,2,5,1,1,6,0,0.0,6,1.9459101490553132,2,3.0,2.4000000000000004,"{29, 31}","{29: 2, 31: 4}",2026-06-23 00:00:00,275,0
51,3152,1,1,1,1,8,0,0.0,8,2.1972245773362196,3,2.0,1.4,"{18, 19, 13}","{13: 1, 19: 2, 18: 3}",2026-06-11 00:00:00,263,0
52,3152,1,4,1,1,8,0,0.0,8,2.1972245773362196,3,2.0,1.4,"{18, 10, 14}","{18: 2, 14: 2, 10: 2}",2026-01-23 00:00:00,124,0
53,2494,2,1,1,1,6,0,0.0,6,1.9459101490553132,3,2.0,2.0,"{114, 110, 111}","{114: 1, 111: 1, 110: 4}",2026-06-19 00:00:00,271,0
55,2494,1,1,1,1,3,0,0.0,3,1.3862943611198906,3,1.6666666666666667,1.2666666666666666,"{114, 110, 111}","{111: 1, 110: 2, 114: 2}",2026-07-10 00:00:00,292,0
57,4338,1,3,1,1,7,0,0.0,7,2.0794415416798357,3,1.6666666666666667,1.2666666666666666,"{116, 117, 118}","{117: 1, 116: 2, 118: 2}",2026-06-25 00:00:00,277,0
58,4338,1,3,1,1,10,2,1.0986122886681098,8,2.1972245773362196,3,1.0,1.0,"{125, 126, 127}","{126: 1, 127: 1, 125: 1}",2025-10-20 00:00:00,29,0
59,336,1,1,1,1,5,0,0.0,5,1.791759469228055,2,2.5,1.6,"{24, 28}","{24: 2, 28: 3}",2026-07-08 00:00:00,290,0
61,336,1,5,1,1,4,0,0.0,4,1.6094379124341003,2,3.0,1.8000000000000003,"{2, 28}","{2: 2, 28: 4}",2026-06-30 00:00:00,282,0
62,336,1,4,1,1,8,0,0.0,8,2.1972245773362196,3,2.3333333333333335,1.5333333333333334,"{8, 2, 3}","{8: 1, 2: 3, 3: 3}",2026-03-11 00:00:00,171,0
63,336,1,3,1,1,7,0,0.0,7,2.0794415416798357,2,1.5,1.2000000000000002,"{42, 46}","{42: 1, 46: 2}",2026-06-19 00:00:00,271,0
64,2159,1,2,1,1,9,0,0.0,9,2.302585092994046,2,1.5,1.2000000000000002,"{96, 65}","{65: 1, 96: 2}",2026-06-02 00:00:00,254,0
65,3551,1,4,1,1,10,0,0.0,10,2.3978952727983707,2,3.0,1.8000000000000003,"{73, 75}","{75: 3, 73: 3}",2026-01-29 00:00:00,130,0
66,36,1,1,1,1,3,0,0.0,3,1.3862943611198906,3,1.6666666666666667,1.2666666666666666,"{33, 29, 31}","{29: 1, 33: 1, 31: 3}",2026-06-30 00:00:00,282,0
67,36,1,4,1,1,5,1,0.6931471805599453,4,1.6094379124341003,3,2.0,1.4,"{32, 33, 29}","{29: 2, 33: 2, 32: 2}",2025-10-13 00:00:00,22,0
69,1559,1,4,1,1,9,0,0.0,9,2.302585092994046,3,1.3333333333333333,1.1333333333333333,"{48, 49, 50}","{50: 1, 48: 1, 49: 2}",2026-06-27 00:00:00,279,0
70,5403,1,5,1,1,3,0,0.0,3,1.3862943611198906,3,2.3333333333333335,1.5333333333333334,"{18, 11, 14}","{14: 2, 18: 2, 11: 3}",2026-06-03 00:00:00,255,0
71,5403,2,5,1,1,7,0,0.0,7,2.0794415416798357,3,2.3333333333333335,2.1333333333333333,"{11, 20, 14}","{14: 1, 20: 2, 11: 4}",2026-06-30 00:00:00,282,0
73,5403,1,3,1,1,8,0,0.0,8,2.1972245773362196,3,2.0,1.4,"{18, 11, 20}","{11: 1, 20: 2, 18: 3}",2025-10-27 00:00:00,36,0
74,5183,2,3,1,1,8,1,0.6931471805599453,7,2.0794415416798357,3,2.3333333333333335,2.1333333333333333,"{42, 36, 45}","{42: 2, 45: 2, 36: 3}",2025-11-16 00:00:00,56,0
78,676,1,5,1,1,5,0,0.0,5,1.791759469228055,3,1.6666666666666667,1.2666666666666666,"{43, 36, 39}","{39: 1, 43: 1, 36: 3}",2026-07-03 00:00:00,285,0
80,3361,1,4,1,1,7,0,0.0,7,2.0794415416798357,3,2.6666666666666665,1.6666666666666665,"{106, 108, 109}","{108: 1, 106: 3, 109: 4}",2026-06-15 00:00:00,267,0
81,3361,2,2,1,1,10,0,0.0,10,2.3978952727983707,3,2.0,2.0,"{124, 125, 127}","{125: 1, 127: 2, 124: 3}",2026-03-21 00:00:00,181,0
82,3361,1,4,1,1,5,0,0.0,5,1.791759469228055,3,2.3333333333333335,1.5333333333333334,"{124, 125, 127}","{124: 2, 125: 2, 127: 3}",2026-06-30 00:00:00,282,0
86,3182,1,4,1,1,7,0,0.0,7,2.0794415416798357,3,2.0,1.4,"{116, 117, 119}","{116: 1, 117: 2, 119: 3}",2026-06-12 00:00:00,264,0
88,1574,1,4,1,1,10,0,0.0,10,2.3978952727983707,3,2.0,1.4,"{11, 20, 14}","{20: 1, 11: 2, 14: 3}",2026-06-28 00:00:00,280,0
91,1692,1,1,1,1,4,0,0.0,4,1.6094379124341003,3,1.6666666666666667,1.2666666666666666,"{76, 77, 78}","{77: 1, 76: 2, 78: 2}",2026-06-14 00:00:00,266,0
93,3726,1,4,1,1,9,0,0.0,9,2.302585092994046,3,1.3333333333333333,1.1333333333333333,"{77, 78, 79}","{77: 1, 78: 1, 79: 2}",2026-07-02 00:00:00,284,0
94,2047,1,3,1,1,8,0,0.0,8,2.1972245773362196,3,2.6666666666666665,1.6666666666666665,"{32, 35, 31}","{35: 2, 32: 2, 31: 4}",2026-06-18 00:00:00,270,0
98,291,1,2,1,1,9,0,0.0,9,2.302585092994046,2,2.0,1.4,"{50, 54}","{50: 1, 54: 3}",2026-07-14 00:00:00,296,0
100,938,1,1,1,1,10,2,1.0986122886681098,8,2.1972245773362196,3,1.3333333333333333,1.1333333333333333,"{136, 137, 135}","{135: 1, 136: 1, 137: 2}",2025-10-05 00:00:00,14,0
102,694,2,5,1,1,8,0,0.0,8,2.1972245773362196,3,1.6666666666666667,1.8666666666666667,"{104, 106, 107}","{106: 1, 104: 2, 107: 2}",2025-12-14 00:00:00,84,0
103,694,2,5,1,1,8,0,0.0,8,2.1972245773362196,3,2.3333333333333335,2.1333333333333333,"{106, 107, 109}","{106: 1, 109: 3, 107: 3}",2026-06-25 00:00:00,277,0
105,5488,1,1,1,1,8,0,0.0,8,2.1972245773362196,3,1.0,1.0,"{27, 28, 23}","{28: 1, 27: 1, 23: 1}",2026-05-29 00:00:00,250,0
106,5488,1,3,1,1,5,0,0.0,5,1.791759469228055,3,2.0,1.4,"{27, 28, 23}","{28: 1, 23: 2, 27: 3}",2026-07-13 00:00:00,295,0
109,3603,2,4,1,1,9,0,0.0,9,2.302585092994046,3,2.3333333333333335,2.1333333333333333,"{24, 25, 27}","{27: 1, 24: 3, 25: 3}",2026-06-22 00:00:00,274,0
110,3603,1,2,1,1,9,0,0.0,9,2.302585092994046,3,2.3333333333333335,1.5333333333333334,"{24, 25, 27}","{27: 1, 25: 2, 24: 4}",2026-05-30 00:00:00,251,0
111,2390,2,1,1,1,7,0,0.0,7,2.0794415416798357,3,2.3333333333333335,2.1333333333333333,"{128, 130, 134}","{130: 1, 128: 2, 134: 4}",2026-07-13 00:00:00,295,0
112,2390,1,4,1,1,5,0,0.0,5,1.791759469228055,3,2.3333333333333335,1.5333333333333334,"{128, 130, 134}","{134: 1, 128: 2, 130: 4}",2026-07-05 00:00:00,287,0
116,4810,1,5,1,1,6,0,0.0,6,1.9459101490553132,3,2.6666666666666665,1.6666666666666665,"{42, 43, 37}","{42: 2, 37: 3, 43: 3}",2026-06-19 00:00:00,271,0
119,963,2,4,1,1,5,1,0.6931471805599453,4,1.6094379124341003,3,1.6666666666666667,1.8666666666666667,"{146, 147, 148}","{146: 1, 148: 2, 147: 2}",2025-09-28 00:00:00,7,0
120,963,1,2,1,1,8,0,0.0,8,2.1972245773362196,3,2.6666666666666665,1.6666666666666665,"{146, 148, 149}","{146: 2, 149: 3, 148: 3}",2026-03-08 00:00:00,168,0
127,2168,1,4,1,1,3,0,0.0,3,1.3862943611198906,2,2.0,1.4,"{137, 138}","{137: 2, 138: 2}",2026-06-22 00:00:00,274,0
128,2168,1,3,1,1,6,0,0.0,6,1.9459101490553132,2,1.5,1.2000000000000002,"{137, 138}","{138: 1, 137: 2}",2026-03-31 00:00:00,191,0
129,2168,1,3,1,1,7,0,0.0,7,2.0794415416798357,2,2.5,1.6,"{137, 138}","{137: 2, 138: 3}",2026-01-28 00:00:00,129,0
130,2168,1,2,1,1,8,0,0.0,8,2.1972245773362196,2,2.5,1.6,"{137, 138}","{138: 2, 137: 3}",2026-06-15 00:00:00,267,0
131,2168,1,3,1,1,9,0,0.0,9,2.302585092994046,3,2.6666666666666665,1.6666666666666665,"{152, 153, 150}","{150: 1, 153: 3, 152: 4}",2026-06-10 00:00:00,262,0
132,3845,1,1,1,1,5,0,0.0,5,1.791759469228055,3,1.3333333333333333,1.1333333333333333,"{40, 37, 47}","{40: 1, 47: 1, 37: 2}",2026-06-06 00:00:00,258,0
134,575,2,2,1,1,4,0,0.0,4,1.6094379124341003,3,2.0,2.0,"{33, 30, 31}","{33: 1, 30: 1, 31: 4}",2026-05-29 00:00:00,250,0
135,575,2,1,1,1,8,0,0.0,8,2.1972245773362196,3,2.3333333333333335,2.1333333333333333,"{8, 4, 7}","{4: 1, 8: 2, 7: 4}",2026-06-19 00:00:00,271,0
137,575,1,4,1,1,4,0,0.0,4,1.6094379124341003,3,2.0,1.4,"{33, 30, 31}","{33: 1, 30: 2, 31: 3}",2026-04-08 00:00:00,199,0
138,1280,1,1,1,1,10,0,0.0,10,2.3978952727983707,3,1.3333333333333333,1.1333333333333333,"{113, 114, 110}","{113: 1, 110: 1, 114: 2}",2026-06-05 00:00:00,257,0
139,1280,1,3,1,1,3,0,0.0,3,1.3862943611198906,3,1.3333333333333333,1.1333333333333333,"{113, 110, 111}","{113: 1, 111: 1, 110: 2}",2026-01-12 00:00:00,113,0
140,1523,1,1,1,1,12,9,2.302585092994046,3,1.3862943611198906,3,1.0,1.0,"{84, 85, 86}","{86: 1, 85: 1, 84: 1}",2025-10-05 01:21:00,14,0
143,1523,2,4,1,1,8,1,0.6931471805599453,7,2.0794415416798357,3,1.6666666666666667,1.8666666666666667,"{83, 84, 86}","{86: 1, 83: 2, 84: 2}",2025-10-26 00:00:00,35,0
144,1139,1,2,1,1,10,0,0.0,10,2.3978952727983707,3,1.6666666666666667,1.2666666666666666,"{1, 5, 7}","{7: 1, 1: 1, 5: 3}",2026-06-25 00:00:00,277,0
145,1139,1,2,1,1,7,0,0.0,7,2.0794415416798357,3,3.0,1.8000000000000003,"{42, 44, 38}","{38: 2, 42: 3, 44: 4}",2026-07-14 00:00:00,296,0
146,1139,1,3,1,1,10,0,0.0,10,2.3978952727983707,3,1.3333333333333333,1.1333333333333333,"{42, 44, 38}","{44: 1, 38: 1, 42: 2}",2026-02-28 00:00:00,160,0
148,5188,1,2,1,1,7,0,0.0,7,2.0794415416798357,2,1.5,1.2000000000000002,"{40, 38}","{38: 1, 40: 2}",2026-06-27 00:00:00,279,0
152,3176,2,4,1,1,7,0,0.0,7,2.0794415416798357,2,3.5,2.6,"{124, 127}","{124: 3, 127: 4}",2026-06-08 00:00:00,260,0
153,4615,1,1,1,1,16,11,2.4849066497880004,5,1.791759469228055,3,1.0,1.0,"{80, 76, 78}","{80: 1, 78: 1, 76: 1}",2025-11-15 00:00:00,55,0
155,152,1,3,1,1,9,1,0.6931471805599453,8,2.1972245773362196,3,2.0,1.4,"{65, 67, 68}","{67: 1, 68: 2, 65: 3}",2025-10-12 00:00:00,21,0
156,152,1,2,1,1,7,0,0.0,7,2.0794415416798357,3,1.3333333333333333,1.1333333333333333,"{65, 67, 68}","{67: 1, 65: 1, 68: 2}",2026-06-16 00:00:00,268,0
157,2078,1,3,1,1,6,0,0.0,6,1.9459101490553132,3,3.3333333333333335,1.9333333333333336,"{64, 59, 60}","{60: 3, 59: 3, 64: 4}",2026-06-30 00:00:00,282,0
158,2078,1,1,1,1,5,0,0.0,5,1.791759469228055,3,2.3333333333333335,1.5333333333333334,"{64, 59, 60}","{59: 1, 60: 2, 64: 4}",2026-06-18 00:00:00,270,0
161,3097,2,4,1,1,10,3,1.3862943611198906,7,2.0794415416798357,3,1.3333333333333333,1.7333333333333334,"{114, 115, 111}","{115: 1, 111: 1, 114: 2}",2025-12-01 00:00:00,71,0
162,3097,1,3,1,1,10,1,0.6931471805599453,9,2.302585092994046,3,1.6666666666666667,1.2666666666666666,"{114, 115, 110}","{115: 1, 110: 2, 114: 2}",2025-12-06 00:00:00,76,0
164,4178,1,1,1,1,7,0,0.0,7,2.0794415416798357,3,1.3333333333333333,1.1333333333333333,"{96, 97, 100}","{100: 1, 97: 1, 96: 2}",2026-07-11 00:00:00,293,0
165,4178,1,2,1,1,6,0,0.0,6,1.9459101490553132,3,2.0,1.4,"{96, 97, 100}","{96: 1, 100: 2, 97: 3}",2026-05-31 00:00:00,252,0
166,4178,2,4,1,1,10,0,0.0,10,2.3978952727983707,3,2.3333333333333335,2.1333333333333333,"{65, 67, 69}","{69: 1, 67: 3, 65: 3}",2026-06-04 00:00:00,256,0
167,4178,1,2,1,1,8,1,0.6931471805599453,7,2.0794415416798357,3,1.3333333333333333,1.1333333333333333,"{96, 97, 100}","{97: 1, 100: 1, 96: 2}",2025-10-02 00:00:00,11,0
168,1966,1,1,1,1,8,0,0.0,8,2.1972245773362196,3,1.0,1.0,"{152, 150, 151}","{150: 1, 151: 1, 152: 1}",2026-03-19 00:00:00,179,0
169,1966,1,3,1,1,9,0,0.0,9,2.302585092994046,3,1.6666666666666667,1.2666666666666666,"{128, 131, 133}","{128: 1, 133: 1, 131: 3}",2026-06-06 00:00:00,258,0
172,3317,1,4,1,1,6,0,0.0,6,1.9459101490553132,3,1.6666666666666667,1.2666666666666666,"{65, 66, 70}","{70: 1, 65: 1, 66: 3}",2026-07-11 00:00:00,293,0
173,1157,1,1,1,1,8,0,0.0,8,2.1972245773362196,3,3.0,1.8000000000000003,"{124, 125, 127}","{127: 2, 124: 3, 125: 4}",2026-06-08 00:00:00,260,0
175,415,1,2,1,1,7,2,1.0986122886681098,5,1.791759469228055,3,1.6666666666666667,1.2666666666666666,"{43, 37, 38}","{38: 1, 43: 2, 37: 2}",2025-10-07 00:00:00,16,0
177,4626,1,5,1,1,7,0,0.0,7,2.0794415416798357,3,2.0,1.4,"{144, 145, 142}","{145: 1, 142: 2, 144: 3}",2025-10-03 00:00:00,12,0
178,4626,1,4,1,1,4,0,0.0,4,1.6094379124341003,3,1.3333333333333333,1.1333333333333333,"{152, 154, 151}","{154: 1, 151: 1, 152: 2}",2026-07-12 00:00:00,294,0
180,3754,1,2,1,1,10,0,0.0,10,2.3978952727983707,2,2.5,1.6,"{1, 30}","{1: 2, 30: 3}",2026-06-23 00:00:00,275,0
181,1247,1,4,1,1,5,0,0.0,5,1.791759469228055,3,1.0,1.0,"{67, 68, 70}","{67: 1, 68: 1, 70: 1}",2026-06-20 00:00:00,272,0
182,1247,1,5,1,1,9,0,0.0,9,2.302585092994046,3,1.6666666666666667,1.2666666666666666,"{67, 68, 70}","{70: 1, 67: 2, 68: 2}",2026-07-08 00:00:00,290,0
184,1514,2,4,1,1,7,0,0.0,7,2.0794415416798357,2,2.5,2.2,"{128, 130}","{130: 2, 128: 3}",2026-06-20 00:00:00,272,0
185,5416,1,5,1,1,6,0,0.0,6,1.9459101490553132,3,2.0,1.4,"{145, 141, 142}","{142: 1, 145: 1, 141: 4}",2026-06-17 00:00:00,269,0
186,5416,1,5,1,1,7,0,0.0,7,2.0794415416798357,3,1.0,1.0,"{146, 147, 148}","{147: 1, 146: 1, 148: 1}",2026-07-05 00:00:00,287,0
188,1019,1,2,1,1,5,0,0.0,5,1.791759469228055,3,1.6666666666666667,1.2666666666666666,"{10, 20, 21}","{21: 1, 20: 2, 10: 2}",2026-06-05 00:00:00,257,0
189,1019,1,1,1,1,8,0,0.0,8,2.1972245773362196,3,3.0,1.8000000000000003,"{48, 53, 54}","{48: 2, 53: 3, 54: 4}",2026-02-15 00:00:00,147,0
193,3143,1,2,1,1,8,0,0.0,8,2.1972245773362196,3,2.0,1.4,"{146, 148, 149}","{148: 1, 146: 2, 149: 3}",2026-06-25 00:00:00,277,0
195,2209,1,1,1,1,8,0,0.0,8,2.1972245773362196,3,2.0,1.4,"{32, 33, 31}","{32: 1, 33: 1, 31: 4}",2026-07-01 00:00:00,283,0
197,3008,2,1,1,1,24,17,2.8903717578961645,7,2.0794415416798357,3,1.3333333333333333,1.7333333333333334,"{72, 73, 74}","{72: 1, 73: 1, 74: 2}",2025-09-24 00:00:00,3,0
200,5460,1,4,1,1,4,0,0.0,4,1.6094379124341003,2,2.5,1.6,"{144, 141}","{144: 2, 141: 3}",2026-07-01 00:00:00,283,0
202,5460,2,4,1,1,5,0,0.0,5,1.791759469228055,2,2.5,2.2,"{144, 141}","{144: 2, 141: 3}",2026-07-05 00:00:00,287,0
203,5460,1,3,1,1,9,0,0.0,9,2.302585092994046,3,1.3333333333333333,1.1333333333333333,"{147, 148, 149}","{147: 1, 148: 1, 149: 2}",2026-01-18 00:00:00,119,0
204,5355,1,1,1,1,4,0,0.0,4,1.6094379124341003,3,2.3333333333333335,1.5333333333333334,"{32, 30, 31}","{31: 1, 30: 3, 32: 3}",2026-06-28 00:00:00,280,0
205,5355,1,5,1,1,8,0,0.0,8,2.1972245773362196,3,1.6666666666666667,1.2666666666666666,"{16, 10, 14}","{16: 1, 10: 2, 14: 2}",2026-06-15 00:00:00,267,0
206,5355,1,1,1,1,10,1,0.6931471805599453,9,2.302585092994046,3,1.6666666666666667,1.2666666666666666,"{16, 10, 14}","{14: 1, 16: 2, 10: 2}",2025-10-09 00:00:00,18,0
207,4150,1,2,1,1,8,0,0.0,8,2.1972245773362196,3,2.0,1.4,"{85, 86, 87}","{87: 2, 86: 2, 85: 2}",2026-07-12 00:00:00,294,0
209,4150,1,3,1,1,4,0,0.0,4,1.6094379124341003,3,1.6666666666666667,1.2666666666666666,"{59, 60, 62}","{59: 1, 60: 1, 62: 3}",2026-06-21 00:00:00,273,0
211,5226,1,3,1,1,4,0,0.0,4,1.6094379124341003,3,2.6666666666666665,1.6666666666666665,"{120, 122, 123}","{120: 2, 123: 3, 122: 3}",2026-01-10 00:00:00,111,0
213,5226,1,5,1,1,10,0,0.0,10,2.3978952727983707,3,1.6666666666666667,1.2666666666666666,"{112, 114, 111}","{111: 1, 114: 1, 112: 3}",2026-07-09 00:00:00,291,0
215,4000,1,3,1,1,5,0,0.0,5,1.791759469228055,3,1.0,1.0,"{8, 3, 4}","{8: 1, 3: 1, 4: 1}",2026-07-03 00:00:00,285,0
216,4370,1,3,1,1,9,0,0.0,9,2.302585092994046,2,3.0,1.8000000000000003,"{100, 103}","{100: 2, 103: 4}",2025-12-12 00:00:00,82,0
217,4370,1,2,1,1,5,0,0.0,5,1.791759469228055,3,2.0,1.4,"{73, 74, 71}","{73: 1, 71: 2, 74: 3}",2026-07-07 00:00:00,289,0
218,4370,1,2,1,1,5,0,0.0,5,1.791759469228055,2,2.0,1.4,"{100, 103}","{103: 2, 100: 2}",2026-07-13 00:00:00,295,0
220,1543,1,4,1,1,10,0,0.0,10,2.3978952727983707,3,1.6666666666666667,1.2666666666666666,"{65, 66, 67}","{66: 1, 67: 2, 65: 2}",2026-07-06 00:00:00,288,0
224,2718,1,5,1,1,9,0,0.0,9,2.302585092994046,3,1.0,1.0,"{74, 75, 71}","{71: 1, 75: 1, 74: 1}",2026-06-16 00:00:00,268,0
225,503,2,3,1,1,6,0,0.0,6,1.9459101490553132,3,2.3333333333333335,2.1333333333333333,"{105, 106, 109}","{106: 1, 109: 3, 105: 3}",2026-06-27 00:00:00,279,0
226,503,1,1,1,1,10,0,0.0,10,2.3978952727983707,3,2.3333333333333335,1.5333333333333334,"{124, 125, 127}","{124: 2, 125: 2, 127: 3}",2026-06-02 00:00:00,254,0
229,2239,1,4,1,1,8,0,0.0,8,2.1972245773362196,3,2.3333333333333335,1.5333333333333334,"{24, 25, 28}","{25: 2, 28: 2, 24: 3}",2026-06-08 00:00:00,260,0
231,3543,1,4,1,1,6,0,0.0,6,1.9459101490553132,3,1.6666666666666667,1.2666666666666666,"{82, 84, 86}","{84: 1, 86: 2, 82: 2}",2026-06-24 00:00:00,276,0
234,1424,1,3,1,1,10,0,0.0,10,2.3978952727983707,3,1.3333333333333333,1.1333333333333333,"{128, 133, 134}","{134: 1, 133: 1, 128: 2}",2026-06-29 00:00:00,281,0
235,1424,1,5,1,1,8,0,0.0,8,2.1972245773362196,3,1.0,1.0,"{141, 142, 143}","{143: 1, 142: 1, 141: 1}",2026-06-30 00:00:00,282,0
237,1424,1,4,1,1,8,0,0.0,8,2.1972245773362196,3,2.6666666666666665,1.6666666666666665,"{141, 142, 143}","{142: 2, 143: 2, 141: 4}",2026-07-09 00:00:00,291,0
239,4702,1,3,1,1,9,1,0.6931471805599453,8,2.1972245773362196,3,1.6666666666666667,1.2666666666666666,"{56, 52, 54}","{56: 1, 52: 2, 54: 2}",2026-06-01 00:00:00,253,0
240,4702,2,5,1,1,8,0,0.0,8,2.1972245773362196,3,1.0,1.6,"{1, 3, 7}","{7: 1, 1: 1, 3: 1}",2026-07-12 00:00:00,294,0
242,4702,1,1,1,1,8,0,0.0,8,2.1972245773362196,3,1.3333333333333333,1.1333333333333333,"{24, 22, 23}","{24: 1, 23: 1, 22: 2}",2026-07-09 00:00:00,291,0
245,760,1,1,1,1,5,0,0.0,5,1.791759469228055,3,1.0,1.0,"{3, 5, 7}","{5: 1, 3: 1, 7: 1}",2026-05-01 00:00:00,222,0
246,760,1,4,1,1,10,0,0.0,10,2.3978952727983707,3,1.6666666666666667,1.2666666666666666,"{42, 37, 47}","{42: 1, 37: 2, 47: 2}",2026-06-16 00:00:00,268,0
248,10,2,2,1,1,3,0,0.0,3,1.3862943611198906,3,1.6666666666666667,1.8666666666666667,"{32, 29, 7}","{29: 1, 32: 1, 7: 3}",2026-05-14 00:00:00,235,0
