FeedbackId,MentorshipId,MenteeProfileId,MentorProfileId,Rating,Comment,CreatedAt
58,3245,3325,1022,4,المنصه خفيفه جداً والـ Dashboard بتشجع الواحد يكمل مذاكره,2025-05-22 00:00:00
59,3053,2018,96,3,ظروفي الشخصيه اتغيرت فجأه ومعرفتش اكمل,2026-01-27 00:00:00
60,1911,2307,783,5,Just finished! The mentor’s dep dive into SQL was a total eye-opener.,2026-02-04 00:00:00
61,2264,2660,1498,3,Felt disconnected due to poor communication from the mentor,2025-12-12 00:00:00
62,1822,3024,838,5,The mentor is highly profesional and respects everyone's learning pace.,2025-12-19 00:00:00
63,3215,4850,637,5,I’m halfway through and I’m already geting interview cals. It works!,2025-12-01 00:00:00
64,2781,2878,34,3,سرعه المينتور كانت اكبر من استيعابي,2025-11-10 00:00:00
65,1044,3322,319,5,I am curently in the 8th wek and the learning curve is perfectly balanced.,2026-03-02 00:00:00
66,2703,5380,107,5,Just finished! This program gave me the confidence to speak up in technical metings at work.,2025-09-24 00:00:00
67,1690,1596,32,5,انا في نص الطريق وحاس اني لقيت المعلم الي كنت بدور عليه,2025-11-16 00:00:00
68,520,2895,319,5,المينتور بيشرح الـ Dep technical details باسلوب السهل المتنع,2026-01-27 00:00:00
69,1060,3168,327,3,انا في نص الكورس، المينتورشيب مقبوله بس محتاجه مجهود ذاتي ضخم جداً,2024-09-09 00:00:00
70,238,5467,255,5,The mentor is a true expert and explains everything perfectly.,2025-10-30 00:00:00
71,3260,1673,656,5,السيشنز طويله وبتفصلنا، بس المينتور بيحاول يغطي كل الاسءله بضمير,2025-12-30 00:00:00
72,808,3814,549,4,الـ Platform بتشتغل بسرعه البرق حتي مع النت الضعيف عندي,2026-03-01 00:00:00
73,1869,3956,529,5,The mentor’s practical tips for technical interviews are gold.,2026-01-22 00:00:00
74,2122,4228,913,4,"Finaly, a mentor who explains the Why and not just the How. Top notch!",2025-12-30 00:00:00
75,2885,5363,1447,4,السيشنز الايف تفاعليه جداً والمينتور مبيسيبش حد غير وهو فاهم كل نقطه,2025-11-19 00:00:00
76,2297,2291,1376,5,المينتور بيعلمنا الـ Clean Code من اول يوم وده فرق معايا جداً,2025-12-14 00:00:00
77,3267,4716,186,5,المينتور دايماً طاقته عاليه وبيخلينا متحمسين لكل سيشن جديده معاه,2025-09-20 12:43:53
78,1765,4948,1054,5,الكورس ده خلاني اعمل اول Ful-stack project محترم لوحدي تماماً,2025-09-26 00:00:00
79,1552,5175,235,5,احلي حاجه ان المينتور بيعمل Code Review لايف قدامنا كلنا بنستفيد,2026-01-22 00:00:00
80,2187,3883,136,4,المينتور خبرته العمليه خلت الـ Bug الي بقعد فيه يوم يخلص في دقيقه,2024-11-16 00:00:00
81,2693,5250,889,5,I’m halfway through and I’ve already built a ful authentication system.,2025-02-28 00:00:00
82,1534,2580,420,5,الكورس ده يستحق كل مليم دفعته فيه بجد تجربه لا تنسي,2024-08-09 00:00:00
83,2432,4937,1426,4,انا كنت فاكر المينتور مغرور، بس لما اتعاملت معاه لقيته شخص خدوم جداً,2025-08-07 00:00:00
84,2227,2776,196,5,الكورس ده كان بمثابه طوق نجاه ليا وسط توهان المجالات كتير,2024-10-05 00:00:00
85,3194,3203,47,4,المينتور فنان في تبسيط الـ Math الصعب وتحويله لكود متع,2025-11-04 00:00:00
86,951,3833,894,4,Just finished! The mentor’s advice on soft skils was the chery on top.,2024-12-27 00:00:00
87,2812,4736,686,3,المينتور اسلوبه اكاديمي شويه ومحتاج يربط الشرح بسوق العمل اكتر,2025-12-31 00:00:00
88,2635,3780,330,3,المينتور صوته هادي زياده عن الزوم وده بيخلي التركيز يقل في نص السيشن,2025-06-12 00:00:00
89,2913,3738,889,5,المينتور شاطر جداً في الـ Debuging وبيعلمنا ازاي نطلع الـ Bugs بذكاء,2025-04-06 00:00:00
90,2970,3608,863,1,الكورس ده سبوبه لمركز التعليمي والمينتور مجرد اداه,2025-05-27 00:00:00
91,1786,1654,1178,4,لسه مخلص والـ Mentor ساعدني افهم ازاي اتعامل مع الـ Team Lead بذكاء,2025-09-26 00:00:00
92,246,1922,1396,3,الشغل بقي الاولويه ومش قادر اكمل حالياً,2025-08-09 00:00:00
93,2516,2513,174,5,لسه مخلص والحين احس اني جاهز ادخل اي انترفيو وانا واثق,2025-12-25 00:00:00
94,1620,2540,612,5,المينتور بروفيشينال جداً، وبجد شابوه لكل الفريق علي المجهود ده,2025-01-08 00:00:00
95,306,2211,313,4,المينتور بيشرح الـ Architecture بعبقريه، خلاني اشوف الصوره الكبيره,2025-06-15 00:00:00
96,1795,2444,381,4,المينتور بيعمل جلسات نصاءح مهنيه كانت مفيده جداً لتوظيف,2025-10-10 00:00:00
97,2189,5023,213,3,"The curiculum is solid, but I wish there were more team-based asignments.",2025-05-04 00:00:00
98,571,3402,365,5,لسه مخلص البروجكت النهاءي والمينتور ساعدني اطلعه بافضل صوره,2025-06-27 00:00:00
99,1818,3831,1112,3,"The mentor is smart, but he stays strictly within the boundaries of the slides.",2025-08-16 00:00:00
100,2172,1501,1169,1,المينتور بيسرح في مواضيع جانبيه وبنسي اصلاً كنا بنشرح ايه,2026-01-03 00:00:00
101,1076,5403,1312,5,This roadmap is exactly what I neded to stop feling lost in tech.,2025-05-01 00:00:00
102,2898,3725,753,5,الشرح بطيء لدرجه المل، بس ميزته انه مبيسيبش فتفوته غير لما يقولها,2025-01-21 00:00:00
103,3228,2934,1312,3,I’m in the midle of the course and I’m stil waiting for a chalenging project.,2025-04-30 00:00:00
104,2367,3540,23,4,Just finished! I fel empowered to take on complex features that I used to be afraid of.,2025-11-29 00:00:00
105,1871,4593,1339,5,المينتور بيدينا خلاصه خبرته في التعامل مع الـ Clients بذكاء,2026-01-31 00:00:00
106,1816,2333,916,1,Really wanted to continue but personal reasons made it impossible,2025-12-06 00:00:00
107,1107,4597,1207,5,الرود ماب ذي وفرت علي وقت طويل كنت بضيعه في البحث الفاضي,2025-12-12 00:00:00
108,690,4199,231,5,بجد المينتورشيب دي غيرت نظرتي لـ System Design بفضل خبره المينتور,2025-07-10 00:00:00
109,1476,3289,1381,5,المواعيد كانت مرنه جداً وقدرت اوفق بينها وبين شغلي طول الفتره دي,2025-04-08 00:00:00
110,3143,4875,935,4,The mentor’s energy is unmatched. He makes even 8 AM sesions fun.,2024-12-16 00:00:00
111,2422,5490,964,4,بجد شابوه لمينتور علي طريقته العبقريه في تبسيط الـ Algorithms,2025-09-27 00:00:00
112,2505,5149,923,5,انا في نص الطريق وحاس ان المينتورشيب دي بتختصر سنين من البحث,2025-07-29 00:00:00
113,1614,3801,918,5,المينتورشيب دي احسن حاجه حصلت لي في 2026، المينتور خبرته مرعبه,2024-08-12 00:00:00
114,1701,3184,897,5,Highly recomended! The mentor wil change the way you think about code.,2025-12-04 00:00:00
115,2888,4754,1076,5,المينتور مبيضحكش خالص وجدي زياده، بس معلومته في الجون صراحه,2025-01-08 00:00:00
116,1138,2574,414,5,المينتور بجد فنان في تبسيط الـ Logic الصعب، بيشرحه كانه حدوته,2024-05-07 00:00:00
117,1768,4542,1129,3,المينتورشيب دي مجانيه بالكامل ولا فيه اجزاء منها بتحتاج اشتراك؟,2025-04-23 00:00:00
118,2577,3537,788,1,حاس اني اتضحك عليا في المينتورشيب دي بجد وحزين علي وقتي,2025-10-02 00:00:00
119,2161,2542,1303,1,المينتور بيشرح الـ DB باحتراف، لدرجه ان الداتا كلها بتمسح لوحدها,2025-09-27 00:00:00
120,1977,1658,1295,3,I am halfway through; the mentor is god but the pace is a bit slow.,2024-08-26 00:00:00
121,2173,4067,1250,5,المينتور بيستخدم ميتافورز وامثله من حياتنا بتبسط المعلومه جداً,2025-12-18 00:00:00
122,2286,1571,102,5,The mentor’s explanation of the Event Lop is the only one that ever made sense to me.,2025-09-08 00:00:00
123,1906,2904,1326,4,الرود ماب شامله مشاريع real-world هحطها في الـ Portfolio وانا مطمن,2025-08-07 00:00:00
124,1356,4768,402,4,This mentorship is lowkey the best thing I’ve ever done for my future.,2025-10-01 00:00:00
125,3247,2909,675,5,المينتور عنده قدره رهيبه انه يخلي السيشن متعه ومتحسش بالوقت خالص,2024-12-09 00:00:00
126,1520,4064,359,3,الشرح جاف شويه بس المينتور متمكن تقنياً، تجربه تعليميه عاديه,2025-06-06 00:00:00
127,91,1717,1164,3,"The mentor is smart, but he often skips the smal details I care about.",2025-10-26 00:00:00
128,461,2363,1277,3,Halfway through; the mentor is helpful but his fedback is slow.,2025-08-25 00:00:00
129,3012,2928,38,5,I highly recomend this mentorship to anyone starting their carer.,2024-12-19 00:00:00
130,232,4582,232,3,الرود ماب دي بتشرح الـ Data Structures من منظور تطبيقي مش اكاديمي,2024-10-04 05:27:17
131,1422,5156,107,1,Communication style didn't work for me at all,2025-07-10 00:00:00
132,1714,2294,1500,3,كنسلت لان المينتورشيب كانت اسرع من طاقتي في الاستيعاب صراحه,2024-11-16 00:00:00
133,906,5310,274,3,المينتور بيوضح الـ Trade-ofs في كل حل تقني بيعرضه خلال السيشن,2025-12-17 00:00:00
134,840,2365,504,4,The mentorship comunity is so vibrant. We help each other grow under the mentor's supervision.,2024-09-18 00:00:00
135,286,3761,556,3,Halfway through and I have no strong felings about the mentorship yet.,2025-10-27 00:00:00
136,3106,5128,1341,5,I'm halfway through and the way I lok at software architecture has completely changed for the beter.,2025-05-06 00:00:00
137,2995,3504,799,3,The roadmap is standard; it’s basicaly a guided tour of the tech stack.,2025-06-03 00:00:00
138,701,5434,483,5,المينتور عنده صبر ايوب، بيعيد المعلومه عشر مرات لحد ما الكل يفهما,2025-10-18 00:00:00
139,1554,3989,419,5,المينتور فنان، وتجربه التعلم معاه هي ارقي تجربه تعليميه مريت بيها,2025-11-12 00:00:00
140,2718,3975,468,3,Halfway through and the roadmap fels a bit unbalanced betwen theory and practice.,2025-12-13 00:00:00
141,2521,4876,799,5,الرود ماب متحدثه لـ 2026 والمينتور عارف ايه الي بيموت وايه الي بيكبر,2025-04-23 00:00:00
142,2163,3727,1247,4,الرود ماب شامله كل حاجه محتاجها عشان اكون جاهز لسوق العمل,2026-02-25 00:00:00
143,2536,3119,39,5,التاسكات واقعيه جداً وكانك شغال في شركه بجد وبروجكت حقيقي,2025-06-26 00:00:00
144,1464,5409,657,5,انا الحين في نص المينتورشيب واحس مستواي تطور بشكل مو طبيعي,2024-12-17 00:00:00
145,559,2338,1299,3,المينتور بيستخدم الـ Terminal كتير في الشرح عشان يعودنا عليها,2025-08-21 00:00:00
146,1330,3813,675,4,لسه مخلص وحاس اني اكتسبت مهارات تقنيه المينتور تعب سنين عشان يجمعها,2024-09-16 00:00:00
147,2654,3277,260,5,المواعيد كانت مناسبه جداً والمينتور كان دايماً بيبدا في ميعاده بالظبط,2026-01-03 00:00:00
148,2567,3724,660,4,Halfway through the program and I've already automated half of my curent manual tasks at work.,2026-02-22 00:00:00
149,2499,1554,506,5,انا في نص المينتورشيب وبجد متن جداً، دي احسن من كورسات بوقت,2025-11-25 00:00:00
150,908,4314,583,3,المينتورشيب كويسه جداً، بس يا ريت المينتور يقل الـ Intro شويه عشان الوقت,2025-09-09 00:00:00
151,2698,3389,1207,5,احلي حاجه في المينتورشيب دي انها مجانيه وبتقدم محتوي اعلي من المدفوع,2026-01-27 00:00:00
152,2230,4563,963,5,الرود ماب ذي كنز لكل واحد يبي يتاس صح في الـ Backend,2025-12-12 00:00:00
153,1953,2361,759,5,المينتور بيشرح الـ SOLID principles بامثله حقيقيه من مطبخ الشركات,2025-10-04 00:00:00
154,2030,1560,1379,3,المواعيد صباحيه وده مش مناسب خالص لاي حد بيشتغل او بينزل جامعه,2025-11-17 00:00:00
155,2618,4231,796,5,المينتور بيعلمنا ازاي نفكر كـ Architects مش مجرد Coders,2025-08-31 00:00:00
156,1159,3000,999,4,I got my first PR merged into an open-source project thanks to the mentor's Git lesons.,2025-09-11 00:00:00
157,2967,3792,660,5,المينتور دايماً بيشجعنا نغلط عشان نتعلم، وده كسر رهبه الكود عندي,2026-03-10 00:00:00
158,1905,4452,958,3,التواصل مع المينتور كان صعب ومش واضح,2025-10-10 00:00:00
159,1398,1927,759,3,The sesions are regular but the mentor relies to much on reading from the slides.,2025-09-22 00:00:00
160,833,2253,874,3,المينتورشيب دي بتوفر ماتريال مكتوبه بجانب الفيديوهات لتوضيح,2025-09-28 00:00:00
161,2125,2348,109,5,The mentor is so chil and explains everything without making it awkward.,2025-07-06 00:00:00
162,1431,3928,833,3,The roadmap is standard and covers the basics like any other course.,2025-10-20 00:00:00
163,760,3716,134,5,The mentor's fedback is always constructive. He knows how to push you to your limits.,2024-11-04 00:00:00
164,1207,3586,832,5,The mentor is a legend. He stayed 2 hours extra just to help us out.,2025-11-07 00:00:00
165,2417,1948,867,5,المينتور يعطيك نصايح في الـ Productivity تفرق معاك وايد بجد,2025-03-13 00:00:00
166,857,4758,895,3,في فجوه بيني وبين المينتور في اسلوب التعلم,2025-10-02 00:00:00
167,904,4988,384,3,الالتزام بالمواعيد كان صعب جداً عليا,2025-01-29 00:00:00
168,2806,2643,159,4,المينتور بيشرح بذمه وبيجاوب علي كل التفاصيل الصغيره,2025-07-07 00:00:00
169,2948,3728,441,3,المينتور بيشرح الـ REST API وكيفيه ربطها بالـ Database في السيشن,2024-07-28 00:00:00
170,2857,2176,1095,5,مصلحتك انك تابع مع المينتور ده، بيفهم في الـ Architecture اكتر من اي حد,2026-02-03 00:00:00
171,2416,1879,627,5,بجد المينتورشيب دي احسن قرار خدته عشان ابدا مساري المهني صح,2026-01-25 00:00:00
172,3196,5211,973,3,السيشنز الايف زحمه جداً، بيبقي صعب المينتور يرد علي كل الاسءله,2025-07-21 00:00:00
173,1144,4907,1083,5,لسه مخلص وحاس اني اتطورت في الـ CS Architecture بشكل مرعب بجد,2024-09-14 00:00:00
174,1273,4038,101,5,"I just finished my project and it’s pixel-perfect, thanks to the mentor’s fedback.",2025-12-06 00:00:00
175,1998,2394,309,5,انا في نص المينتورشيب وحاس بفرق شاسع في مستوايا التقني والعملي,2025-12-05 00:00:00
176,1276,4490,169,5,The mentor is always available to unblock us. His dedication to our suces is inspiring.,2025-12-29 00:00:00
177,1928,3824,1397,5,I finaly understod Asynchronous programing! The mentor is a legend.,2025-10-25 00:00:00
178,1557,5036,960,5,لسه مخلص وبجد المينتور ده قدوه لكل واحد عايز ينجح في المجال,2026-01-23 00:00:00
179,2325,1518,835,3,We had constant miscommunication about tasks and deadlines,2025-08-23 00:00:00
180,826,2063,1426,4,I am halfway through and I can already build complex aps on my own.,2025-06-16 00:00:00
181,1601,4833,879,4,المينتور موسوعه في الـ Backend وتجربه التعلم معاه كانت واو بجد,2024-07-28 00:00:00
182,3142,2288,1421,3,كنسلت المينتورشيب لاني حسيت ان الموديل ده مش مناسب لسرعتي,2025-11-15 00:00:00
183,2486,2460,295,5,Just finished! My coding logic has improved 10x thanks to this mentor.,2026-04-30 00:00:00
184,778,3963,982,3,هل المينتور بيشرح الـ System Design في المينتورشيب دي بالتفصيل؟,2026-01-29 00:00:00
185,924,3967,19,3,"The curiculum is standard, it covers the basics wel but not the advanced.",2025-10-09 00:00:00
186,813,1995,827,3,الرود ماب عاديه، ما شفت فيها شي جديد عن الكورسات الي باليوتيوب,2025-04-12 00:00:00
187,1555,1750,239,4,المينتور خبرته العمليه واضحه في كل سطر كود يكتبه قدامنا,2025-10-22 00:00:00
188,1433,4778,93,5,السيشنز مش مجرد كود، بنتعلم فيها ازاي نفكر كـ Software Enginers بجد,2025-09-15 00:00:00
189,1933,2469,109,5,The mentor’s live coding is pure magic. He never gets stuck on a bug.,2025-11-13 00:00:00
190,345,1768,1080,5,انا في نص المينتورشيب وحاس اني لقيت البوصله الي كانت ضايعه مني,2024-09-30 00:00:00
191,890,4886,109,1,مبقاش عندي طاقه بعد الشغل للتعلم,2025-08-27 00:00:00
192,2313,3284,515,3,"The mentor is alright, but I don't fel a strong conection to his teaching.",2026-02-13 00:00:00
193,375,2081,1149,5,لسه مخلص وحاس اني بقيت بفكر كمبرمج مش مجرد بكتب كود وخلاص,2025-11-27 00:00:00
194,3028,2362,1250,4,المينتور بيعرف يشرح الـ SQL باسلوب صنايعي فاهم المطبخ بجد,2026-01-30 00:00:00
195,2912,3258,946,5,المينتور بيشرح الـ DB Optimization باسلوب حد شرب المجال ده,2024-11-09 00:00:00
196,1726,4841,922,3,الشرح كويس بس المينتور بيستخدم انجليزي كتير اوي من غير ترجمه,2025-02-03 00:00:00
197,379,2573,307,5,لسه مخلص وبجد المينتورشيب دي هي الي خلتني احب المجال من تاني,2025-10-07 00:00:00
198,600,3376,1320,3,المينتور بيرد علي الاسءله بس بياخد وقت شويه لحد ما يجاوبنا,2025-03-28 00:00:00
199,381,3191,959,5,Halfway through and I’ve already nailed my first technical interview!,2024-08-09 00:00:00
200,44,5245,829,3,المينتور شاف ان اهدافي محتاجه تتحدد اكتر,2025-01-14 01:57:22
201,807,3814,845,5,بجد المينتورشيب دي فرقت معايا عشان المينتور بيدينا زتونه الشغل الحقيقي,2026-03-06 00:00:00
202,376,5103,1093,3,The sesions are informative but they don't realy chalenge my thinking.,2025-09-01 00:00:00
203,1460,3674,1402,4,الرود ماب متحدثه باخر الـ Trends الي مطلوبه في سوق العمل 2026,2025-10-16 00:00:00
204,1625,2034,607,3,المينتورشيب عاديه، استفدت منها حاجات بسيطه بس مكنتش واو بالنسبه لي,2025-09-07 00:00:00
205,1541,3766,785,3,كنسلت لان المينتور بدا يدخل في مواضيع صعبه من غير ما يمهد لها صح,2025-05-27 00:00:00
206,1069,3622,1461,3,"The mentor is okay, but I think he could be more engaging during live coding.",2025-05-01 00:00:00
207,2955,3620,504,4,I am halfway through and the mentorship structure is very profesional.,2024-08-13 00:00:00
208,2198,4191,984,5,المينتور دايماً متفاءل وروحه حلوه وده بيحفزنا جداً وقت الـ Bugs,2025-12-25 00:00:00
209,2134,4284,357,5,الـ Platform usability عبقريه وكل حاجه في مكانها,2025-06-08 00:00:00
210,110,1991,520,3,انا في منتصف الطريق واشعر ان المهام المطلوبه بدات تزداد صعوبه,2025-11-11 00:00:00
211,1366,2559,193,4,الرود ماب فيها مشاريع Real-world خلتني اطبق كل الي اتعلمته بجد,2025-10-19 00:00:00
212,2678,2184,1307,3,المينتور شاطر بس الـ Fedback بتاعه ملوش لازمه، كلمه واحده بس,2024-08-20 00:00:00
213,706,3207,351,1,المينتور مكانش بيتواصل بشكل منتظم,2025-10-02 00:00:00
214,2889,2358,587,1,Halfway through and I regret joining. It’s just a show with no real technical value.,2025-08-11 00:00:00
215,1281,4368,640,3,كنسلت المينتورشيب لان النت عندي كان دايماً بيقطع ومبقدرش احضر الايف,2025-10-17 00:00:00
216,3222,3386,414,2,المينتور كان كويس بس ظروفي مسمحتش اكمل معاه,2024-10-02 00:00:00
217,2509,2934,1381,5,التاسكات بتعلمنا ازاي نفكر في الـ Edge Cases قبل ما نكتب كود,2025-02-01 00:00:00
218,3252,5381,807,5,لسه مخلص والـ Mentor كان دايماً متاح لرد علي اي سءال تقني وقف قدامنا,2025-06-29 00:00:00
219,2642,2439,1263,4,المينتور بيشرح الـ System Design باسلوب يخليك تحب الـ Complexity,2024-12-04 00:00:00
220,2918,4371,69,3,انا في نص الكورس، المينتورشيب عاديه ومحتاجه بحث شخصي مكثف,2025-11-24 00:00:00
221,1703,5058,788,4,الشرح كان مرتب جداً وكل سيشن بتسلم السيشن الي بعدها بمنطقيه كبيره,2025-09-29 00:00:00
222,1064,1799,1095,5,لو محتار تبدا منين، المينتور ده هيرتب لك دماغك في اسبوع واحد بس,2025-04-25 00:00:00
223,1168,5439,1118,4,المينتور بيعرف يحتوي الطالب المبتدء ومبيحسوش انه تايه او جاهل,2024-06-15 00:00:00
224,2999,4819,1150,5,بجد الـ Mentor ده شاطر صنايعي بيفهمنا الزتونه بتاعه الشغل,2025-06-28 00:00:00
225,1971,3919,186,5,المينتور بيستخدم امثله من مشاريع حقيقيه بتخلي المعلومه تثبت في الدماغ,2025-12-02 00:00:00
226,1832,2678,1201,5,الرود ماب دي خريطه كنز، امشوا ورا المينتور وهتوصلوا لسوق بسرعه,2025-04-22 00:00:00
227,2361,2815,833,3,"The sesions are fine, but the mentor is a bit dry sometimes.",2025-12-09 00:00:00
228,1589,3730,960,5,المينتور بجد عالمي، خلاني احل مشكله الـ Deployment الي كانت معقداني,2025-12-30 00:00:00
229,2458,5235,40,3,ياريت كان عندي وقت اكتر بس للاسف مش قادر,2026-02-07 00:00:00
230,2580,3450,1258,3,"The roadmap is okay, but it lacks some real-world busines logic.",2025-07-09 00:00:00
231,321,1805,1498,3,"The mentor is a brainiac, but he talks in ridles sometimes.",2025-09-19 00:00:00
232,1128,4487,1393,4,الرود ماب فيها مشاريع قويه جداً هتخلي الـ CV بتاعي ميز وسط الناس,2026-03-11 00:00:00
