MentorshipRequirementId,ProgramId,TechnologyId,RequiredExperienceLevel
413,150,109,intermediate
414,151,111,none
415,151,110,advanced
416,151,113,none
417,152,124,intermediate
418,152,127,advanced
419,153,76,none
420,153,78,none
421,153,80,none
422,154,68,none
423,154,65,none
424,154,67,none
425,155,65,intermediate
426,155,67,none
427,155,68,beginner
428,156,65,none
429,156,67,none
430,156,68,beginner
431,157,60,intermediate
432,157,59,intermediate
433,157,64,advanced
434,158,59,none
435,158,64,advanced
436,158,60,beginner
437,159,60,none
438,159,64,none
439,159,59,none
440,160,95,beginner
441,160,93,none
442,160,94,intermediate
443,161,111,none
444,161,115,none
445,161,114,beginner
446,162,110,beginner
447,162,114,beginner
448,162,115,none
449,163,109,beginner
450,163,107,none
451,163,106,beginner
452,164,97,none
453,164,100,none
454,164,96,beginner
455,165,96,none
456,165,100,beginner
457,165,97,intermediate
458,166,67,intermediate
459,166,69,none
460,166,65,intermediate
461,167,96,beginner
462,167,100,none
463,167,97,none
464,168,150,none
465,168,152,none
466,168,151,none
467,169,133,none
468,169,128,none
469,169,131,intermediate
470,170,128,beginner
471,170,131,beginner
472,170,133,intermediate
473,171,151,none
474,171,152,beginner
475,171,150,none
476,172,65,none
477,172,66,intermediate
478,172,70,none
479,173,127,beginner
480,173,125,advanced
481,173,124,intermediate
482,174,38,none
483,174,42,advanced
484,174,37,advanced
485,175,38,none
486,175,43,beginner
487,175,37,beginner
488,176,145,none
489,176,144,none
490,176,143,none
491,177,145,none
492,177,144,intermediate
493,177,142,beginner
494,178,151,none
495,178,152,beginner
496,178,154,none
497,179,145,beginner
498,179,143,beginner
499,179,141,none
500,180,30,intermediate
501,181,70,none
502,181,68,none
503,181,67,none
504,182,70,none
505,182,67,beginner
506,182,68,beginner
507,183,144,beginner
508,183,141,beginner
509,183,145,none
510,184,128,intermediate
511,185,142,none
512,185,141,advanced
513,185,145,none
514,186,148,none
515,186,146,none
516,186,147,none
517,187,146,none
518,187,147,none
519,187,149,beginner
520,188,21,none
521,188,20,beginner
522,188,10,beginner
523,189,53,intermediate
524,189,54,advanced
525,189,48,beginner
526,190,10,none
527,190,13,intermediate
528,190,21,advanced
529,191,53,advanced
530,191,48,beginner
531,191,54,none
532,192,21,none
533,192,10,none
534,192,20,none
535,193,146,beginner
536,193,148,none
537,193,149,intermediate
538,194,135,none
539,194,138,none
540,194,140,beginner
541,195,32,none
542,195,33,none
543,195,31,advanced
544,196,47,none
545,196,42,intermediate
546,197,74,beginner
547,197,73,none
548,197,72,none
549,198,72,beginner
550,198,74,none
551,198,73,none
552,199,73,none
553,199,74,beginner
554,199,72,none
555,200,144,beginner
556,200,141,intermediate
557,201,151,beginner
558,201,150,advanced
559,202,141,intermediate
560,203,147,none
561,203,149,beginner
562,203,148,none
563,204,30,intermediate
564,204,31,none
565,204,32,intermediate
566,205,10,beginner
567,205,14,beginner
568,205,16,none
569,206,14,none
570,206,16,beginner
571,206,10,beginner
572,207,87,beginner
573,207,86,beginner
574,207,85,beginner
575,208,84,none
576,208,87,intermediate
577,208,85,intermediate
578,209,60,none
579,209,62,intermediate
580,209,59,none
581,210,120,beginner
582,210,121,beginner
583,210,123,intermediate
584,211,120,beginner
585,211,123,intermediate
586,211,122,intermediate
587,212,122,none
588,212,120,beginner
589,212,121,none
590,213,114,none
591,213,111,none
592,213,112,intermediate
593,214,114,none
594,214,112,beginner
595,214,111,intermediate
596,215,4,none
597,215,3,none
598,215,8,none
599,216,103,advanced
600,216,100,beginner
601,217,74,intermediate
602,217,71,beginner
603,217,73,none
604,218,103,beginner
605,218,100,beginner
606,219,100,beginner
607,219,103,beginner
608,220,65,beginner
609,220,66,none
610,220,67,beginner
611,221,77,none
612,221,80,beginner
613,221,79,none
614,222,79,beginner
615,222,80,beginner
616,222,77,beginner
617,223,71,none
618,223,73,none
619,223,75,none
620,224,74,none
621,224,75,none
622,224,71,none
623,225,106,none
624,225,105,intermediate
625,225,109,intermediate
626,226,127,intermediate
627,226,124,beginner
628,226,125,beginner
629,227,117,none
630,227,118,beginner
631,227,119,intermediate
632,228,25,intermediate
633,228,24,beginner
634,228,28,beginner
635,229,25,beginner
636,229,24,intermediate
637,229,28,beginner
638,230,84,beginner
639,230,82,none
640,230,86,none
641,231,86,beginner
642,231,82,beginner
643,231,84,none
644,232,84,beginner
645,232,86,beginner
646,232,82,beginner
647,233,86,none
648,233,84,none
649,233,82,beginner
650,234,128,beginner
651,234,133,none
652,234,134,none
653,235,141,none
654,235,142,none
655,235,143,none
656,236,134,intermediate
657,236,133,none
658,236,128,beginner
659,237,142,beginner
660,237,141,advanced
661,237,143,beginner
662,238,133,beginner
663,238,128,none
664,238,134,beginner
665,239,52,beginner
666,239,54,beginner
667,239,56,none
668,240,3,none
669,240,1,none
670,240,7,none
671,241,3,none
672,241,1,none
673,241,7,beginner
674,242,23,none
675,242,22,beginner
676,242,24,none
677,243,36,none
678,243,37,none
679,243,42,none
680,244,16,intermediate
681,244,13,none
682,244,10,none
683,245,7,none
684,245,3,none
685,245,5,none
686,246,42,none
687,246,37,beginner
688,246,47,beginner
689,247,8,none
690,247,7,beginner
691,247,5,beginner
692,248,32,none
693,248,29,none
694,249,114,none
695,249,110,none
696,249,111,beginner
697,250,114,none
698,250,110,beginner
699,250,111,beginner
700,251,105,beginner
701,251,104,none
702,251,106,beginner
703,252,22,intermediate
704,252,25,none
705,252,23,none
706,253,51,beginner
707,253,56,intermediate
708,253,49,none
709,254,48,beginner
710,254,56,none
711,254,49,none
712,255,48,none
713,255,56,beginner
714,255,49,beginner
715,256,123,none
716,256,120,beginner
717,256,122,none
718,257,120,none
719,257,121,beginner
720,257,123,beginner
721,258,127,beginner
722,258,124,beginner
723,258,126,beginner
724,259,118,beginner
725,259,116,beginner
726,259,119,intermediate
727,260,116,none
728,260,118,beginner
729,260,119,intermediate
730,261,117,beginner
731,261,118,none
732,261,119,none
733,262,94,none
734,262,90,none
735,262,95,intermediate
736,263,95,beginner
737,263,94,intermediate
738,263,90,none
739,264,85,beginner
740,264,83,beginner
741,265,85,beginner
742,266,78,none
743,266,79,beginner
744,266,77,none
745,267,65,none
746,267,68,advanced
747,267,66,beginner
748,268,91,none
749,268,89,none
750,268,95,none
751,269,80,none
752,269,77,none
753,269,78,beginner
754,270,96,none
755,270,102,beginner
756,270,103,beginner
757,271,69,none
758,271,67,intermediate
759,271,66,beginner
760,272,111,none
761,272,115,intermediate
762,272,110,beginner
763,273,104,none
764,273,107,none
765,273,106,none
766,274,110,none
767,274,115,none
768,274,111,none
769,275,119,intermediate
770,275,117,intermediate
771,275,118,beginner
772,276,126,beginner
773,276,125,none
774,276,124,none
775,277,117,none
776,277,118,beginner
777,277,116,beginner
778,278,118,advanced
779,278,117,none
780,278,119,beginner
781,279,122,advanced
782,280,33,beginner
783,280,29,beginner
784,280,35,none
785,281,46,beginner
786,281,38,beginner
787,282,13,advanced
788,282,20,beginner
789,282,15,beginner
790,283,89,beginner
791,283,93,beginner
792,284,89,intermediate
793,284,93,none
794,285,100,none
795,285,103,beginner
796,285,96,none
797,286,89,advanced
798,286,93,beginner
799,287,73,beginner
800,287,74,none
801,287,72,beginner
802,288,73,intermediate
803,288,72,none
804,288,74,none
805,289,14,none
806,289,11,intermediate
807,289,17,beginner
808,290,17,none
809,290,14,none
810,290,11,beginner
811,291,36,none
812,291,37,beginner
813,291,45,none
814,292,8,none
815,292,3,none
816,292,9,beginner
817,293,36,none
818,293,45,advanced
819,293,37,beginner
820,294,54,beginner
821,294,48,beginner
822,294,55,advanced
823,295,48,beginner
824,295,55,beginner
825,295,54,none
826,296,55,intermediate
827,296,48,beginner
828,296,54,advanced
829,297,10,intermediate
830,297,12,beginner
831,297,20,none
832,298,12,beginner
833,298,14,intermediate
834,298,20,none
835,299,14,none
836,299,10,none
837,299,12,beginner
838,300,31,none
839,300,33,intermediate
840,300,30,beginner
841,301,20,intermediate
842,301,14,none
843,301,10,advanced
844,302,121,advanced
845,302,123,beginner
846,302,120,none
847,303,105,none
848,303,109,none
849,303,106,beginner
850,304,122,intermediate
851,304,120,beginner
852,304,123,none
853,305,123,intermediate
854,305,121,intermediate
855,305,122,beginner
856,306,118,none
857,306,117,intermediate
858,306,116,intermediate
859,307,125,beginner
860,307,127,intermediate
861,308,116,none
862,308,117,beginner
863,308,118,beginner
864,309,123,beginner
865,309,120,none
866,309,121,intermediate
867,310,69,none
868,310,66,intermediate
869,310,65,intermediate
870,311,96,beginner
871,311,97,beginner
872,311,101,none
873,312,23,beginner
874,312,25,intermediate
875,312,27,beginner
876,313,52,none
877,313,49,none
878,313,48,beginner
879,314,21,intermediate
880,314,10,none
881,315,35,intermediate
882,315,32,intermediate
883,316,124,intermediate
884,316,126,beginner
885,316,127,beginner
886,317,122,beginner
887,317,120,beginner
888,317,123,none
889,318,120,none
890,318,122,beginner
891,318,123,none
892,319,38,none
893,319,42,intermediate
894,319,41,none
895,320,41,intermediate
896,320,42,beginner
897,320,38,beginner
898,321,58,intermediate
899,322,103,none
900,322,96,none
901,322,97,none
902,323,93,beginner
903,323,89,beginner
904,323,95,beginner
905,324,95,none
906,324,93,intermediate
907,324,89,none
908,325,97,beginner
909,325,103,intermediate
910,325,96,none
911,326,60,none
912,326,57,none
913,326,62,advanced
914,327,23,beginner
915,327,24,none
916,327,25,none
917,328,27,none
918,328,25,none
919,328,24,beginner
920,329,10,beginner
921,329,11,beginner
922,329,20,beginner
923,330,27,none
924,330,25,advanced
925,330,23,intermediate
926,331,18,beginner
927,331,10,beginner
928,331,11,beginner
929,332,71,beginner
930,332,72,beginner
931,332,73,beginner
932,333,81,beginner
933,333,85,none
934,333,86,beginner
935,334,72,none
936,334,73,intermediate
937,334,71,advanced
938,335,42,none
939,335,45,none
940,335,44,intermediate
941,336,34,none
942,336,31,none
943,337,53,none
944,337,51,intermediate
945,337,54,beginner
946,338,34,none
947,338,31,intermediate
948,339,49,none
949,339,48,intermediate
950,339,53,none
951,340,28,beginner
952,340,24,none
953,340,23,none
954,341,106,none
955,341,108,advanced
956,342,116,none
957,342,117,beginner
958,342,119,beginner
959,343,108,beginner
960,343,106,beginner
961,344,110,intermediate
962,344,114,beginner
963,344,112,advanced
964,345,75,beginner
965,345,72,none
966,345,73,intermediate
967,346,72,intermediate
968,346,74,none
969,346,73,beginner
970,347,54,beginner
971,347,52,none
972,348,33,none
973,348,30,beginner
974,348,31,intermediate
975,349,30,beginner
976,349,31,beginner
977,349,33,none
978,350,33,intermediate
979,350,30,beginner
980,350,31,none
981,351,42,none
982,351,39,intermediate
983,351,38,beginner
984,352,88,none
985,352,83,none
986,352,86,advanced
987,353,95,advanced
988,353,93,beginner
989,353,94,beginner
990,354,95,none
991,354,93,none
992,354,94,none
993,355,93,beginner
994,355,95,beginner
995,355,94,beginner
996,356,94,intermediate
997,356,95,intermediate
998,356,93,beginner
999,357,75,beginner
1000,357,72,beginner
1001,357,74,intermediate
1002,358,59,none
1003,358,57,none
1004,358,63,beginner
1005,359,73,none
1006,359,72,none
1007,359,75,advanced
1008,360,79,intermediate
1009,360,80,beginner
1010,360,78,none
1011,361,72,none
1012,361,75,beginner
1013,361,74,beginner
1014,362,56,beginner
1015,362,55,beginner
1016,362,49,beginner
1017,363,28,advanced
1018,363,25,beginner
1019,363,24,none
1020,364,11,none
1021,364,19,none
1022,364,14,none
1023,365,24,none
1024,365,25,beginner
1025,365,28,none
1026,366,20,none
1027,366,17,advanced
1028,366,11,beginner
1029,367,50,beginner
1030,367,54,beginner
1031,367,56,beginner
1032,368,30,none
1033,368,32,beginner
1034,368,33,beginner
1035,369,54,beginner
1036,369,56,beginner
1037,369,50,intermediate
1038,370,56,advanced
1039,370,54,none
1040,370,50,none
1041,371,50,beginner
1042,371,54,beginner
1043,371,56,none
1044,372,39,beginner
1045,373,37,beginner
1046,373,39,intermediate
1047,374,149,beginner
1048,374,148,none
1049,374,147,beginner
1050,375,26,beginner
1051,375,23,beginner
1052,375,28,none
1053,376,31,none
1054,376,32,beginner
1055,376,34,none
1056,377,26,none
1057,377,23,advanced
1058,377,28,beginner
1059,378,120,none
1060,378,123,intermediate
1061,378,121,beginner
1062,379,122,beginner
1063,379,121,beginner
1064,379,123,none
1065,380,112,intermediate
1066,381,123,none
1067,381,121,none
1068,381,122,none
1069,382,134,beginner
1070,382,131,intermediate
1071,382,130,none
1072,383,139,beginner
1073,383,138,beginner
1074,384,139,none
1075,384,138,advanced
1076,385,130,intermediate
1077,385,131,none
1078,385,134,intermediate
1079,386,76,intermediate
1080,386,79,beginner
1081,386,80,beginner
1082,387,116,intermediate
1083,387,118,beginner
1084,387,117,none
1085,388,118,beginner
1086,388,119,none
1087,388,117,beginner
1088,389,120,intermediate
1089,390,127,beginner
1090,390,125,intermediate
1091,390,126,intermediate
1092,391,124,advanced
1093,391,126,beginner
1094,391,127,intermediate
1095,392,14,intermediate
1096,392,18,none
1097,392,10,beginner
1098,393,10,none
1099,393,18,none
1100,393,14,intermediate
1101,394,24,beginner
1102,394,22,none
1103,394,23,advanced
1104,395,18,none
1105,395,10,beginner
1106,395,16,beginner
1107,396,11,beginner
1108,396,10,none
1109,396,14,beginner
1110,397,6,none
1111,397,5,none
1112,397,3,intermediate
1113,398,49,none
1114,398,56,intermediate
1115,398,55,beginner
1116,399,49,none
1117,399,55,beginner
1118,399,56,intermediate
1119,400,55,beginner
1120,400,49,none
1121,400,56,none
1122,401,22,none
1123,401,24,none
1124,401,25,none
1125,402,119,none
1126,402,117,intermediate
1127,402,118,none
1128,403,110,none
1129,403,112,none
1130,403,111,advanced
1131,404,80,none
1132,404,79,intermediate
1133,404,77,none
1134,405,57,beginner
1135,405,60,none
1136,405,61,beginner
1137,406,60,none
1138,406,57,beginner
1139,406,61,beginner
1140,407,107,none
1141,407,104,none
1142,407,106,none
1143,408,109,none
1144,408,106,none
1145,408,107,beginner
1146,409,121,none
1147,409,122,none
1148,409,123,none
1149,410,58,advanced
1150,410,57,beginner
1151,410,59,beginner
1152,411,100,none
1153,411,96,beginner
1154,411,97,none
1155,412,57,advanced
1156,412,58,intermediate
1157,412,59,none
1158,413,57,none
1159,413,59,none
1160,413,58,beginner
1161,414,11,beginner
1162,414,15,beginner
1163,414,13,intermediate
1164,415,54,beginner
1165,415,52,intermediate
1166,416,1,intermediate
1167,416,3,none
1168,416,2,none
1169,417,23,none
1170,417,27,none
1171,417,24,none
1172,418,3,none
1173,418,2,none
1174,418,1,beginner
1175,419,107,beginner
1176,419,109,beginner
1177,419,104,advanced
1178,420,111,none
1179,420,115,none
1180,420,110,intermediate
1181,421,122,none
1182,421,121,none
1183,421,123,none
1184,422,120,none
1185,422,122,none
1186,422,121,none
1187,423,117,beginner
1188,423,118,beginner
1189,423,116,advanced
1190,424,120,none
1191,424,123,intermediate
1192,424,122,none
1193,425,117,none
1194,425,118,intermediate
1195,425,116,beginner
1196,426,116,none
1197,426,118,beginner
1198,426,117,beginner
1199,427,82,beginner
1200,427,86,none
1201,427,84,beginner
1202,428,85,none
1203,428,84,none
1204,428,82,none
1205,429,86,intermediate
1206,429,84,none
1207,429,85,beginner
1208,430,82,beginner
1209,430,84,beginner
1210,430,86,intermediate
1211,431,2,none
1212,431,3,beginner
1213,431,5,beginner
1214,432,30,beginner
1215,432,29,beginner
1216,432,31,intermediate
1217,433,38,intermediate
1218,433,39,advanced
1219,434,29,beginner
1220,434,31,none
1221,434,30,none
1222,435,33,none
1223,435,29,intermediate
1224,435,30,none
1225,436,37,beginner
1226,436,42,beginner
1227,436,47,none
1228,437,48,none
1229,437,56,advanced
1230,437,53,none
1231,438,56,none
1232,438,51,none
1233,438,48,beginner
1234,439,35,none
1235,439,31,beginner
1236,439,32,none
1237,440,33,none
1238,440,35,beginner
1239,440,31,none
1240,441,54,none
1241,441,48,beginner
1242,441,55,none
1243,442,13,beginner
1244,442,14,none
1245,442,12,none
1246,443,125,beginner
1247,443,126,advanced
1248,443,127,beginner
1249,444,111,intermediate
1250,444,114,beginner
1251,444,110,intermediate
1252,445,122,intermediate
1253,445,120,none
1254,445,121,beginner
1255,446,122,none
1256,446,121,beginner
1257,446,123,none
1258,447,125,intermediate
1259,447,126,beginner
1260,447,124,none
1261,448,106,none
1262,448,105,none
1263,448,104,none
1264,449,127,beginner
1265,449,126,none
1266,449,125,intermediate
1267,450,104,none
1268,450,105,intermediate
1269,450,106,beginner
1270,451,105,none
1271,451,104,beginner
1272,451,106,none
1273,452,116,beginner
1274,452,118,advanced
1275,452,117,none
1276,453,119,beginner
1277,453,116,beginner
1278,453,118,none
1279,454,118,none
1280,454,117,beginner
1281,454,116,intermediate
1282,455,56,beginner
1283,455,48,none
1284,455,49,none
1285,456,56,beginner
1286,456,53,beginner
1287,456,49,intermediate
1288,457,104,none
1289,457,106,intermediate
1290,457,109,intermediate
1291,458,73,beginner
1292,458,72,intermediate
1293,458,75,none
1294,459,50,none
1295,459,54,none
1296,460,54,intermediate
1297,460,50,beginner
1298,461,50,intermediate
1299,462,126,none
1300,462,127,beginner
1301,462,124,none
1302,463,127,beginner
1303,463,124,none
1304,463,126,intermediate
1305,464,118,none
1306,464,116,intermediate
1307,464,117,beginner
1308,465,125,beginner
1309,465,126,beginner
1310,465,124,none
1311,466,116,beginner
1312,466,117,intermediate
1313,466,119,none
1314,467,128,intermediate
1315,467,134,intermediate
1316,467,131,none
1317,468,151,beginner
1318,468,154,none
1319,468,150,none
1320,469,151,beginner
1321,469,154,advanced
1322,469,150,intermediate
1323,470,145,none
1324,470,141,intermediate
1325,470,143,intermediate
1326,471,142,none
1327,471,145,none
1328,471,143,beginner
1329,472,135,intermediate
1330,472,136,none
1331,472,140,beginner
1332,473,142,beginner
1333,473,143,beginner
1334,473,141,beginner
1335,474,92,intermediate
1336,474,93,beginner
1337,474,94,intermediate
1338,475,80,beginner
1339,475,77,beginner
1340,475,76,none
1341,476,95,none
1342,476,92,beginner
1343,476,89,none
1344,477,69,none
1345,477,67,beginner
1346,478,81,advanced
1347,479,81,beginner
1348,480,61,none
1349,480,59,intermediate
1350,480,57,none
1351,481,60,beginner
1352,481,61,none
1353,481,59,beginner
1354,482,57,none
1355,482,59,none
1356,482,60,none
1357,483,84,beginner
1358,483,81,beginner
1359,483,85,beginner
1360,484,24,intermediate
1361,484,22,none
1362,484,25,none
1363,485,24,intermediate
1364,485,23,none
1365,485,22,advanced
1366,486,49,beginner
1367,486,54,beginner
1368,486,56,beginner
1369,487,124,beginner
1370,487,126,advanced
1371,487,127,none
1372,488,126,none
1373,488,125,beginner
1374,488,124,none
1375,489,25,intermediate
1376,489,24,intermediate
1377,489,28,beginner
1378,490,38,beginner
1379,490,37,beginner
1380,490,46,none
1381,491,38,none
1382,491,46,beginner
1383,491,37,beginner
1384,492,4,intermediate
1385,492,3,none
1386,493,2,none
1387,493,1,beginner
1388,493,5,intermediate
1389,494,2,beginner
1390,494,7,none
1391,494,1,none
1392,495,13,none
1393,495,16,none
1394,495,10,beginner
1395,496,51,advanced
1396,496,49,intermediate
1397,496,54,intermediate
1398,497,10,beginner
1399,497,14,beginner
1400,497,13,none
1401,498,13,intermediate
1402,498,16,beginner
1403,498,14,beginner
1404,499,13,intermediate
1405,499,14,beginner
1406,499,16,beginner
1407,500,59,none
1408,500,60,none
1409,500,62,beginner
1410,501,86,intermediate
1411,501,85,none
1412,501,84,none
1413,502,65,none
1414,502,67,beginner
1415,502,66,intermediate
1416,503,84,beginner
1417,503,87,none
1418,504,87,advanced
1419,504,84,beginner
1420,505,84,none
1421,505,87,beginner
1422,506,53,none
1423,506,48,beginner
1424,507,8,beginner
1425,507,1,beginner
1426,507,2,none
1427,508,28,none
1428,508,25,beginner
1429,509,53,beginner
1430,510,152,none
1431,510,151,advanced
1432,510,154,none
1433,511,131,beginner
1434,511,134,intermediate
1435,511,128,none
1436,512,133,advanced
1437,512,129,advanced
1438,512,131,intermediate
1439,513,154,intermediate
1440,513,152,beginner
1441,513,151,beginner
1442,514,134,beginner
