MentorshipId,ProgramId,MenteeProfileId,MentorProfileId,CancellationActor,CancellationDate,CancellationReasonValue
926,1222,2217,1019,mentee,2025-11-30 00:00:00,personal_reasons
932,3187,3532,661,mentee,2027-02-15 00:00:00,personal_reasons
965,2108,2200,349,mentee,2027-01-27 00:00:00,personal_reasons
966,411,2554,435,mentee,2026-07-06 00:00:00,goal_mismatch
976,309,2163,637,mentee,2027-02-17 00:00:00,communication_issues
981,1047,3255,1205,mentee,2026-06-05 00:00:00,goal_mismatch
1009,2833,4779,357,mentee,2026-08-04 00:00:00,mentor_unavailable
1073,133,2418,1374,mentee,2026-01-14 00:00:00,scheduling_conflict
1083,1393,1602,736,mentee,2026-12-25 00:00:00,mentor_unavailable
1112,846,4123,1234,mentee,2027-02-20 00:00:00,mentor_unavailable
1135,1750,2972,686,mentee,2027-02-13 00:00:00,goal_mismatch
1146,2046,2592,148,mentee,2026-08-13 00:00:00,communication_issues
1152,956,1729,583,mentee,2026-10-08 00:00:00,communication_issues
1157,553,5060,601,mentee,2027-04-28 00:00:00,goal_mismatch
1235,1201,1740,832,mentee,2027-04-23 00:00:00,personal_reasons
1236,3182,4601,587,mentee,2026-10-30 00:00:00,goal_mismatch
1244,3023,1527,1186,mentor,2026-12-20 00:00:00,personal_reasons
1256,3058,2498,1443,mentor,2026-12-14 00:00:00,communication_issues
1281,986,4368,640,mentee,2026-12-11 00:00:00,personal_reasons
1292,126,5274,14,mentee,2027-01-24 00:00:00,communication_issues
1305,1459,3812,922,mentee,2026-02-07 00:00:00,personal_reasons
1316,2868,3869,13,mentee,2026-06-05 00:00:00,scheduling_conflict
1330,595,3813,675,mentor,2025-12-01 00:00:00,personal_reasons
1350,1292,2649,1429,mentee,2026-12-15 00:00:00,personal_reasons
1357,2440,3100,1100,mentee,2026-05-02 00:00:00,goal_mismatch
1393,2671,2886,1498,mentee,2027-02-06 00:00:00,mentor_unavailable
1422,1375,5156,107,mentee,2026-09-17 00:00:00,personal_reasons
1440,1192,2744,517,mentee,2025-09-17 00:00:00,personal_reasons
1448,1108,1923,1,mentee,2027-03-12 00:00:00,goal_mismatch
1541,2251,3766,785,mentee,2026-08-12 00:00:00,goal_mismatch
1599,2958,4086,1022,mentee,2027-03-11 00:00:00,personal_reasons
1617,1878,4576,657,mentee,2025-11-18 00:00:00,goal_mismatch
1641,705,4295,327,mentee,2025-10-04 00:00:00,personal_reasons
1666,1715,4484,1327,mentee,2027-03-23 00:00:00,communication_issues
1686,43,3810,149,mentee,2027-02-07 00:00:00,personal_reasons
1696,2937,3843,1159,mentee,2027-04-04 00:00:00,goal_mismatch
1706,1880,5013,657,mentee,2026-03-21 00:00:00,mentor_unavailable
1714,2943,2294,1500,mentee,2026-03-10 00:00:00,personal_reasons
1732,646,3983,807,mentee,2026-08-26 00:00:00,personal_reasons
1760,1899,4735,230,mentee,2027-02-04 00:00:00,communication_issues
1840,2108,2802,349,mentee,2027-01-06 00:00:00,mentor_unavailable
1891,1250,3221,1118,mentee,2025-08-19 00:00:00,communication_issues
1893,784,4137,658,mentee,2026-03-06 00:00:00,mentor_unavailable
1954,2299,2361,1368,mentee,2027-02-10 00:00:00,personal_reasons
1979,1818,4348,273,mentee,2025-07-04 00:00:00,goal_mismatch
1991,1352,2818,182,mentee,2026-05-19 00:00:00,personal_reasons
1992,2788,2818,1277,mentee,2026-11-30 00:00:00,scheduling_conflict
2024,405,3943,408,mentee,2026-11-09 00:00:00,goal_mismatch
2064,1802,3372,432,mentee,2027-01-12 00:00:00,personal_reasons
2070,1923,2160,70,mentee,2026-09-23 00:00:00,personal_reasons
2096,3173,4684,81,mentee,2026-12-22 00:00:00,scheduling_conflict
2097,3039,2805,93,mentee,2026-12-10 00:00:00,communication_issues
2109,2529,5318,960,mentee,2027-06-02 00:00:00,goal_mismatch
2191,810,5023,236,mentee,2027-01-13 00:00:00,goal_mismatch
2202,1244,5470,410,mentee,2026-11-03 00:00:00,personal_reasons
2212,2791,2389,855,mentee,2026-07-10 00:00:00,mentor_unavailable
2266,2509,5197,1379,mentee,2026-11-05 00:00:00,scheduling_conflict
2306,153,3808,952,mentee,2026-12-22 00:00:00,personal_reasons
2315,2215,3394,1149,mentee,2027-02-18 00:00:00,personal_reasons
2328,2852,2113,850,mentee,2027-02-28 00:00:00,personal_reasons
2334,2125,4310,128,mentor,2026-04-06 00:00:00,goal_mismatch
2339,1251,4213,1118,mentee,2025-12-28 00:00:00,goal_mismatch
2346,1115,4540,1137,mentee,2027-02-12 00:00:00,personal_reasons
2356,977,1639,109,mentee,2026-12-20 00:00:00,personal_reasons
2375,2912,5313,351,mentee,2025-12-13 00:00:00,personal_reasons
2386,2084,2693,146,mentee,2027-04-07 00:00:00,goal_mismatch
2415,1944,1879,223,mentee,2026-05-14 00:00:00,mentor_unavailable
2433,3016,4937,702,mentee,2026-12-18 00:00:00,scheduling_conflict
2441,3132,1888,76,mentee,2025-12-17 00:00:00,personal_reasons
2471,2509,3690,1379,mentee,2026-11-20 00:00:00,goal_mismatch
2477,675,5167,352,mentor,2027-02-20 00:00:00,personal_reasons
2493,2299,2806,1368,mentee,2027-02-22 00:00:00,personal_reasons
2537,322,2070,680,mentee,2026-01-03 00:00:00,goal_mismatch
2566,2719,3724,1175,mentee,2027-04-09 00:00:00,personal_reasons
2571,161,5265,113,mentee,2027-03-08 00:00:00,mentor_unavailable
2577,1605,3537,788,mentee,2026-12-14 00:00:00,goal_mismatch
2584,2768,2675,525,mentee,2027-03-20 00:00:00,communication_issues
2585,2988,2675,1307,mentor,2025-11-13 00:00:00,personal_reasons
2614,2808,4867,1402,mentee,2026-07-14 00:00:00,goal_mismatch
2653,1375,4887,107,mentee,2026-09-05 00:00:00,scheduling_conflict
2663,76,4070,1360,mentee,2025-09-15 00:00:00,communication_issues
2706,1495,2830,877,mentee,2027-05-13 00:00:00,scheduling_conflict
2744,1576,3785,385,mentee,2026-09-02 00:00:00,personal_reasons
2756,816,5327,1312,mentee,2026-08-28 00:00:00,goal_mismatch
2758,779,1503,923,mentee,2026-10-10 00:00:00,communication_issues
2764,1276,2913,1054,mentee,2026-09-14 00:00:00,personal_reasons
2773,842,4493,1234,mentee,2026-09-06 00:00:00,personal_reasons
2795,3083,1642,353,mentee,2026-06-03 00:00:00,personal_reasons
2838,1156,1906,159,mentor,2026-09-02 00:00:00,personal_reasons
2844,2273,3940,809,mentee,2026-05-12 00:00:00,goal_mismatch
2858,2094,2176,1148,mentee,2027-03-31 00:00:00,personal_reasons
2869,1156,3573,159,mentor,2026-06-05 00:00:00,personal_reasons
2893,3032,3671,961,mentee,2025-09-19 00:00:00,scheduling_conflict
2903,77,2051,1360,mentee,2026-08-23 00:00:00,scheduling_conflict
2911,3173,4659,81,mentee,2027-02-07 00:00:00,goal_mismatch
2958,2132,2481,411,mentee,2027-03-06 00:00:00,mentor_unavailable
2985,1231,2903,1060,mentee,2026-02-02 00:00:00,mentor_unavailable
3002,2563,4884,319,mentor,2027-02-19 00:00:00,communication_issues
3014,2291,4795,979,mentee,2026-09-25 00:00:00,communication_issues
3015,1308,2831,1421,mentee,2027-04-03 00:00:00,goal_mismatch
3022,2004,1883,945,mentee,2026-07-23 00:00:00,personal_reasons
3045,2180,3798,1333,mentee,2026-01-09 00:00:00,personal_reasons
3071,542,5142,977,mentee,2026-12-18 00:00:00,goal_mismatch
3074,2936,4022,1159,mentee,2027-01-02 00:00:00,personal_reasons
3083,3018,2569,105,mentor,2026-12-22 00:00:00,personal_reasons
3088,2946,3046,326,mentee,2026-11-29 00:00:00,personal_reasons
3135,3168,3797,1109,mentee,2027-05-07 00:00:00,personal_reasons
3142,1308,2288,1421,mentee,2027-02-20 00:00:00,personal_reasons
3147,2806,4815,1402,mentee,2025-11-27 00:00:00,personal_reasons
3158,1464,4885,190,mentee,2027-04-21 00:00:00,personal_reasons
3163,161,4326,113,mentee,2027-03-06 00:00:00,communication_issues
3178,2671,5087,1498,mentee,2026-12-21 00:00:00,personal_reasons
3179,1375,5087,107,mentee,2026-09-08 00:00:00,personal_reasons
3219,817,2983,1312,mentee,2026-08-26 00:00:00,goal_mismatch
3222,222,3386,414,mentee,2026-01-04 00:00:00,goal_mismatch
3227,2806,1836,1402,mentee,2025-12-31 00:00:00,mentor_unavailable
3232,2671,3926,1498,mentee,2027-01-14 00:00:00,personal_reasons
3234,2202,1525,759,mentee,2027-02-28 00:00:00,scheduling_conflict
3251,239,4000,883,mentor,2026-12-17 00:00:00,scheduling_conflict
3264,1818,2771,273,mentee,2025-08-02 00:00:00,scheduling_conflict
3287,717,3453,506,mentor,2027-01-14 00:00:00,scheduling_conflict
3321,1197,2578,1385,mentee,2026-10-18 00:00:00,personal_reasons
