id,follower_id,following_id,followed_at
248,1547,138,2025-04-11
249,1547,149,2025-10-04
250,1547,617,2026-01-29
251,1547,824,2025-12-03
252,1547,1271,2025-04-06
253,1547,1291,2025-01-14
254,1547,1365,2026-04-24
255,1548,165,2025-11-12
256,1548,792,2025-08-20
257,1548,996,2025-05-21
258,1548,1280,2025-07-14
259,1549,169,2026-02-04
260,1549,200,2025-02-09
261,1549,331,2025-11-11
262,1549,552,2025-02-02
263,1549,1145,2026-01-04
264,1550,138,2025-11-18
265,1550,336,2025-12-06
266,1550,532,2025-08-25
267,1550,706,2025-09-11
268,1550,829,2025-11-09
269,1550,1118,2025-09-30
270,1551,81,2025-09-10
271,1551,255,2025-07-16
272,1551,444,2025-10-05
273,1551,451,2025-03-18
274,1551,750,2026-03-15
275,1551,1022,2025-11-16
276,1551,1145,2025-10-22
277,1551,1166,2026-04-14
278,1551,1399,2025-08-12
279,1552,10,2025-09-16
280,1552,82,2025-09-12
281,1552,414,2026-01-03
282,1552,623,2026-03-09
283,1552,703,2025-03-20
284,1552,1153,2026-03-05
285,1553,199,2026-03-04
286,1553,208,2025-03-08
287,1553,349,2025-06-13
288,1553,996,2025-09-22
289,1553,1460,2025-10-23
290,1554,58,2025-04-11
291,1554,506,2025-09-10
292,1554,525,2026-01-19
293,1554,568,2025-01-20
294,1554,631,2026-02-09
295,1554,1093,2025-11-26
296,1555,82,2025-09-30
297,1555,1059,2025-06-12
298,1556,165,2025-12-15
299,1556,506,2025-09-26
300,1556,699,2025-01-01
301,1556,753,2025-07-24
302,1556,1320,2025-11-26
303,1556,1359,2025-04-06
304,1556,1478,2025-12-16
305,1557,81,2025-11-17
306,1557,847,2026-02-10
307,1557,992,2025-05-02
308,1557,1094,2025-07-08
309,1557,1294,2025-01-27
310,1557,1389,2025-12-23
311,1558,146,2025-05-18
312,1558,303,2026-03-29
313,1558,395,2025-01-16
314,1559,34,2025-12-06
315,1559,38,2026-04-04
316,1559,182,2026-03-21
317,1559,313,2025-07-04
318,1559,360,2026-01-22
319,1559,1130,2025-07-19
320,1559,1169,2025-07-15
321,1559,1282,2026-01-08
322,1559,1370,2025-11-14
323,1560,38,2025-06-19
324,1560,569,2025-12-18
325,1560,1295,2025-08-22
326,1560,1379,2025-10-19
327,1561,48,2025-01-20
328,1561,58,2025-01-16
329,1561,81,2025-12-11
330,1561,1060,2025-03-05
331,1562,13,2025-03-27
332,1562,755,2025-05-24
333,1562,1151,2026-04-06
334,1563,141,2025-10-05
335,1563,146,2025-04-01
336,1563,515,2026-02-03
337,1564,58,2026-01-18
338,1564,93,2025-06-25
339,1564,248,2026-03-13
340,1564,342,2025-07-11
341,1565,82,2025-05-18
342,1565,239,2025-05-09
343,1565,556,2025-04-04
344,1565,563,2026-04-24
345,1565,1055,2025-09-26
346,1565,1351,2025-07-21
347,1566,13,2025-08-24
348,1566,1151,2025-10-31
349,1566,1274,2025-07-21
350,1567,15,2025-04-11
351,1567,156,2025-03-13
352,1567,277,2025-06-30
353,1567,1028,2026-02-28
354,1567,1390,2026-02-22
355,1568,37,2025-11-10
356,1568,365,2025-05-31
357,1568,802,2025-04-06
358,1568,1187,2025-11-23
359,1568,1413,2025-05-07
360,1569,203,2025-11-21
361,1569,525,2025-03-10
362,1569,1121,2025-12-16
363,1569,1309,2025-09-30
364,1570,81,2026-01-14
365,1570,113,2025-10-22
366,1570,336,2026-03-10
367,1570,517,2025-05-18
368,1570,548,2026-02-09
369,1570,607,2025-07-20
370,1570,633,2026-03-02
371,1571,102,2026-03-20
372,1571,204,2025-04-24
373,1571,361,2026-03-20
374,1571,481,2026-04-27
375,1571,901,2025-04-10
376,1571,1018,2025-10-07
377,1571,1108,2026-04-07
378,1571,1162,2026-04-18
379,1571,1362,2025-10-21
380,1572,37,2026-04-24
381,1572,915,2025-02-22
382,1572,993,2025-06-24
383,1572,1110,2025-07-27
384,1573,81,2025-03-26
385,1573,538,2025-05-14
386,1573,840,2025-02-10
387,1573,912,2025-12-17
388,1573,938,2025-12-15
389,1573,1294,2026-04-14
390,1574,159,2025-06-17
391,1574,199,2025-04-06
392,1574,216,2025-09-30
393,1574,923,2026-01-25
394,1575,52,2025-06-22
395,1575,191,2026-01-05
396,1575,1273,2026-04-23
397,1575,1453,2025-09-05
398,1576,13,2025-04-02
399,1576,1273,2026-04-13
400,1577,20,2026-04-29
401,1577,156,2025-06-25
402,1577,849,2025-07-19
403,1578,18,2025-03-27
404,1578,58,2025-10-22
405,1578,784,2025-03-29
406,1578,1370,2025-07-26
407,1579,192,2026-04-30
408,1579,496,2025-10-29
409,1579,620,2025-04-24
410,1579,1045,2026-03-21
411,1580,56,2025-12-22
412,1580,75,2025-04-24
413,1580,956,2025-06-25
414,1580,1443,2025-09-29
415,1581,126,2025-11-08
416,1581,146,2026-02-05
417,1581,952,2025-12-18
418,1581,1081,2025-07-09
419,1581,1234,2025-02-22
420,1581,1260,2025-04-25
421,1581,1320,2026-03-17
422,1582,34,2026-04-27
423,1582,610,2025-09-16
424,1582,612,2025-02-24
425,1582,973,2025-10-14
426,1582,1329,2025-12-30
427,1583,11,2025-07-20
428,1583,31,2025-07-09
429,1583,109,2025-07-07
430,1583,458,2025-01-14
431,1583,525,2025-11-27
432,1583,976,2025-09-08
433,1583,1160,2025-09-23
434,1584,129,2025-05-15
435,1584,156,2025-07-17
436,1584,1236,2026-03-12
437,1584,1242,2025-10-14
438,1585,96,2025-06-16
439,1585,204,2025-01-09
440,1585,523,2025-11-09
441,1585,1023,2025-06-14
442,1585,1029,2026-01-23
443,1586,156,2025-09-07
444,1586,204,2026-01-31
445,1586,421,2025-12-15
446,1587,149,2025-05-28
447,1587,777,2026-02-27
448,1587,1232,2025-05-14
449,1588,96,2025-04-25
450,1588,114,2025-01-04
451,1588,702,2025-04-10
452,1588,904,2025-06-06
453,1588,922,2025-11-18
454,1588,933,2025-11-16
455,1588,1022,2025-03-03
456,1588,1025,2026-03-26
457,1588,1297,2025-12-12
458,1588,1367,2026-04-03
459,1589,93,2025-09-20
460,1589,169,2026-02-27
461,1589,310,2025-10-23
462,1589,541,2025-02-08
463,1589,799,2026-04-20
464,1589,1207,2026-03-03
465,1590,15,2025-02-27
466,1590,702,2026-04-13
467,1590,879,2025-09-04
468,1590,892,2025-11-03
469,1591,165,2025-09-05
470,1591,234,2025-03-26
471,1591,540,2025-01-25
472,1591,1147,2025-04-12
473,1592,149,2025-09-25
474,1592,204,2026-03-03
475,1592,377,2025-12-27
476,1592,422,2025-06-20
477,1592,610,2025-10-25
478,1592,1022,2025-05-01
479,1593,146,2025-05-18
480,1593,291,2026-02-11
481,1593,680,2025-01-20
482,1593,796,2025-02-14
483,1593,874,2026-03-06
484,1593,1440,2025-07-06
485,1594,81,2025-04-18
486,1594,586,2025-07-21
487,1594,814,2025-06-07
488,1594,1232,2025-02-15
489,1595,151,2025-06-16
490,1595,169,2025-05-31
491,1595,246,2025-08-21
492,1595,264,2025-02-25
493,1595,706,2025-06-17
494,1595,889,2026-02-28
495,1595,1109,2025-06-17
496,1595,1237,2025-04-14
497,1596,32,2025-02-24
498,1596,37,2025-04-21
499,1596,207,2026-01-09
500,1596,327,2025-03-30
501,1596,986,2025-07-07
502,1596,1349,2025-11-14
503,1596,1370,2026-03-30
504,1597,34,2025-04-20
505,1597,50,2026-02-23
506,1597,116,2025-08-03
507,1597,151,2025-09-01
508,1597,255,2026-01-08
509,1597,407,2026-03-10
510,1597,660,2025-09-26
511,1597,1450,2025-02-19
512,1598,203,2025-05-02
513,1598,519,2026-02-13
514,1598,635,2025-08-07
515,1598,645,2025-08-18
516,1598,1007,2026-03-12
517,1598,1422,2025-06-12
518,1599,119,2025-01-24
519,1599,149,2025-01-09
520,1599,588,2025-11-14
521,1599,835,2025-05-17
522,1599,1414,2026-03-10
523,1600,82,2025-03-18
524,1600,108,2025-12-23
525,1600,109,2026-03-19
526,1600,357,2025-11-26
527,1600,460,2026-02-15
528,1600,472,2025-02-25
529,1600,583,2025-05-26
530,1600,1001,2026-01-30
531,1600,1093,2026-02-10
532,1600,1289,2025-02-14
533,1600,1375,2025-01-19
534,1601,93,2026-02-02
535,1601,142,2025-07-01
536,1601,362,2025-04-01
537,1601,720,2025-08-22
538,1601,996,2025-07-16
539,1601,1036,2025-11-12
540,1601,1357,2025-09-28
541,1602,6,2026-05-01
542,1602,13,2025-03-04
543,1602,76,2025-12-23
544,1602,535,2025-10-30
545,1602,736,2025-09-26
546,1602,1143,2025-08-31
547,1603,23,2025-10-15
548,1603,156,2025-01-31
549,1603,820,2025-11-06
550,1603,960,2026-01-11
551,1603,1206,2026-03-04
552,1603,1215,2025-03-09
553,1603,1300,2026-01-23
554,1604,192,2025-09-02
555,1604,903,2025-01-04
556,1604,1202,2025-05-20
557,1604,1440,2025-07-04
558,1605,11,2025-03-08
559,1605,218,2025-05-01
560,1605,340,2026-03-09
561,1605,416,2025-09-21
562,1605,589,2025-09-27
563,1605,910,2025-10-13
564,1605,1113,2026-03-15
565,1605,1288,2026-01-28
566,1605,1402,2025-06-28
567,1605,1488,2025-07-25
568,1606,185,2025-03-25
569,1606,192,2026-04-01
570,1606,313,2025-03-12
571,1606,529,2026-04-24
572,1606,616,2025-06-19
573,1606,638,2025-10-13
574,1606,978,2026-02-19
575,1606,1473,2026-04-13
576,1607,96,2026-02-19
577,1607,677,2026-02-02
578,1608,58,2025-08-08
579,1608,88,2025-08-02
580,1608,402,2025-01-30
581,1608,584,2025-06-16
582,1608,791,2026-03-19
583,1608,1035,2026-01-31
584,1608,1080,2025-10-26
585,1608,1093,2025-09-17
586,1608,1304,2025-08-01
587,1609,169,2026-02-10
588,1609,250,2026-01-22
589,1609,432,2025-08-19
590,1609,863,2025-10-03
591,1609,1088,2025-08-15
592,1609,1151,2025-05-24
593,1610,81,2025-06-02
594,1610,139,2026-03-18
595,1611,38,2025-03-27
596,1611,412,2025-03-12
597,1611,455,2025-09-10
598,1612,81,2025-12-28
599,1612,282,2025-06-22
600,1612,647,2025-09-19
601,1612,678,2025-06-22
602,1612,1281,2026-01-15
603,1612,1478,2026-04-03
604,1613,11,2025-12-09
605,1613,1226,2025-05-24
606,1613,1462,2025-10-05
607,1613,1475,2025-11-20
608,1614,146,2025-06-23
609,1614,395,2026-01-11
610,1614,939,2025-10-29
611,1615,163,2025-08-05
612,1615,652,2025-07-06
613,1615,709,2026-02-12
614,1615,855,2026-03-20
615,1615,1244,2025-06-12
616,1616,199,2026-02-08
617,1616,1065,2025-12-31
618,1616,1159,2026-03-07
619,1616,1259,2025-11-11
620,1616,1353,2025-05-28
621,1616,1360,2025-04-02
622,1617,53,2025-09-15
623,1617,109,2025-03-07
624,1617,175,2025-06-05
625,1617,336,2025-11-11
626,1617,351,2026-04-12
627,1617,583,2025-03-02
628,1617,1093,2025-02-12
629,1617,1350,2026-02-20
630,1618,175,2025-12-21
631,1618,922,2025-08-08
632,1619,147,2025-06-20
633,1619,596,2025-01-14
634,1619,598,2025-03-11
635,1619,734,2026-04-23
636,1619,1256,2026-03-12
637,1619,1335,2025-01-04
638,1620,34,2026-03-28
639,1620,513,2025-01-21
640,1620,577,2025-01-22
641,1620,1122,2025-03-21
642,1620,1247,2026-02-15
643,1621,169,2025-06-07
644,1621,282,2025-07-10
645,1621,326,2025-11-24
646,1621,708,2025-04-28
647,1621,919,2025-10-28
648,1621,1095,2025-11-28
649,1621,1330,2026-03-26
650,1622,13,2025-04-29
651,1622,132,2025-02-07
652,1622,175,2025-05-02
653,1622,678,2025-03-09
654,1622,1359,2025-11-26
655,1623,68,2026-03-26
656,1623,165,2026-02-27
657,1623,1004,2026-03-29
658,1623,1019,2026-02-28
659,1623,1125,2025-03-01
660,1624,97,2026-02-14
661,1624,164,2025-06-16
662,1625,156,2026-03-21
663,1625,172,2025-06-12
664,1625,1091,2025-02-05
665,1625,1275,2025-04-17
666,1626,81,2025-01-03
667,1626,282,2025-06-15
668,1626,837,2025-06-24
669,1627,199,2025-09-04
670,1627,532,2025-01-18
671,1627,680,2025-09-25
672,1627,855,2025-04-15
673,1627,1331,2025-11-21
674,1628,156,2025-11-21
675,1628,349,2025-08-06
676,1628,524,2025-10-12
677,1628,606,2026-01-13
678,1628,622,2025-04-04
679,1629,128,2025-12-16
680,1629,156,2025-02-21
681,1629,237,2025-05-26
682,1629,242,2025-06-05
683,1629,326,2025-05-26
684,1629,658,2026-03-12
685,1629,661,2025-09-24
686,1629,1179,2025-09-26
687,1630,149,2025-11-12
688,1630,864,2025-07-16
689,1630,1024,2025-07-17
690,1631,146,2025-10-28
691,1631,227,2025-11-14
692,1631,290,2026-01-02
693,1631,319,2025-09-09
694,1631,654,2025-03-15
695,1631,830,2025-09-13
696,1632,56,2026-03-12
697,1632,113,2025-12-20
698,1632,328,2026-04-25
699,1632,344,2025-04-24
700,1632,686,2025-08-05
701,1632,807,2025-08-18
702,1632,1033,2026-04-06
703,1633,192,2025-11-23
704,1633,273,2026-02-08
705,1633,693,2025-08-14
706,1633,799,2026-01-04
707,1633,958,2025-05-30
708,1633,1354,2025-11-26
709,1634,123,2025-07-31
710,1634,274,2025-03-18
711,1634,462,2026-01-18
712,1634,1302,2025-01-04
713,1634,1346,2025-03-08
714,1635,40,2025-07-07
715,1635,58,2026-03-10
716,1635,440,2025-09-21
717,1635,817,2026-01-14
718,1635,999,2025-12-27
719,1635,1479,2025-03-27
720,1636,93,2026-04-16
721,1636,186,2025-07-08
722,1636,326,2025-05-28
723,1636,882,2025-04-18
724,1636,1064,2025-02-05
725,1636,1094,2025-09-27
726,1637,22,2025-04-22
727,1637,81,2026-02-17
728,1637,129,2026-02-21
729,1637,203,2025-03-30
730,1637,288,2025-12-29
731,1637,1360,2025-10-06
732,1637,1374,2026-02-18
733,1637,1428,2026-02-22
734,1638,56,2025-02-24
735,1638,87,2026-01-13
736,1638,178,2025-03-10
737,1638,572,2025-04-08
738,1638,664,2026-03-05
739,1638,711,2025-02-02
740,1638,1326,2025-03-06
741,1638,1402,2025-04-13
742,1638,1407,2025-11-07
743,1639,109,2025-03-15
744,1639,147,2026-03-26
745,1639,357,2026-03-07
746,1639,712,2025-11-27
747,1639,1194,2025-01-04
748,1640,156,2025-11-17
749,1640,169,2025-06-06
750,1640,307,2025-11-16
751,1640,488,2025-02-17
752,1640,746,2025-01-31
753,1640,1115,2025-07-13
754,1640,1322,2026-01-14
755,1640,1476,2025-01-05
756,1641,109,2026-03-30
757,1641,191,2025-02-16
758,1641,296,2025-09-24
759,1641,918,2025-05-06
760,1641,1456,2025-08-01
761,1642,19,2025-05-15
762,1642,199,2025-09-08
763,1642,353,2025-03-23
764,1642,897,2025-04-15
765,1642,1219,2026-01-03
766,1643,175,2025-10-11
767,1643,243,2025-08-26
768,1643,535,2025-06-26
769,1644,97,2025-01-13
770,1644,714,2025-09-30
771,1644,749,2025-03-26
772,1644,1171,2026-01-28
773,1645,37,2025-08-30
774,1645,128,2025-07-26
775,1645,149,2025-09-23
776,1645,771,2025-12-28
777,1645,832,2025-02-14
778,1645,1155,2025-12-07
779,1646,123,2025-08-22
780,1646,943,2025-04-01
781,1646,1018,2026-02-07
782,1646,1300,2025-04-03
783,1647,58,2026-04-06
784,1647,70,2025-06-29
785,1647,482,2025-09-03
786,1648,42,2025-08-26
787,1648,143,2025-06-14
788,1648,169,2025-05-14
789,1648,307,2026-01-18
790,1648,310,2025-07-05
791,1648,686,2025-10-15
792,1648,1086,2025-11-18
793,1648,1424,2025-05-17
794,1648,1494,2025-09-05
795,1649,169,2025-03-11
796,1649,462,2025-07-14
797,1649,1365,2025-03-21
798,1649,1495,2026-03-18
799,1650,116,2025-10-20
800,1650,317,2026-04-28
801,1650,361,2025-01-17
802,1650,659,2025-06-16
803,1650,807,2025-03-14
804,1650,928,2025-11-13
805,1650,1089,2025-02-16
806,1651,96,2025-09-19
807,1651,163,2026-02-23
808,1651,894,2026-02-02
809,1651,1199,2026-03-14
810,1651,1213,2025-12-09
811,1652,37,2026-01-15
812,1652,330,2025-08-21
813,1652,512,2025-07-15
814,1652,735,2026-04-06
815,1652,742,2025-12-03
816,1652,912,2025-10-11
817,1652,1381,2025-05-04
818,1653,203,2026-01-09
819,1653,365,2025-02-22
820,1653,397,2025-07-20
821,1653,817,2025-01-28
822,1653,1019,2025-10-09
823,1653,1159,2026-03-21
824,1653,1351,2025-04-04
825,1654,98,2026-01-03
826,1654,125,2025-08-14
827,1654,150,2025-03-03
828,1654,520,2025-11-27
829,1654,594,2025-08-29
830,1654,734,2025-03-31
831,1654,963,2025-02-02
832,1654,1178,2025-08-23
833,1655,15,2025-12-18
834,1655,204,2025-04-21
835,1655,907,2025-04-12
836,1655,1159,2025-08-15
837,1655,1336,2026-02-08
838,1655,1465,2026-01-03
839,1655,1468,2026-01-08
840,1656,125,2025-04-22
841,1656,163,2026-04-20
842,1656,569,2025-10-17
843,1656,946,2025-12-02
844,1656,1150,2025-10-26
845,1656,1307,2025-04-06
846,1657,38,2026-03-05
847,1657,229,2026-04-20
848,1657,301,2025-01-15
849,1657,757,2025-06-16
850,1658,68,2025-04-04
851,1658,114,2025-03-30
852,1658,123,2025-03-21
853,1658,959,2025-10-23
854,1658,1295,2025-10-18
855,1659,38,2026-04-11
856,1659,169,2025-11-11
857,1659,336,2025-04-20
858,1659,598,2026-01-15
859,1659,1101,2025-07-30
860,1659,1261,2026-03-28
861,1660,192,2025-03-29
862,1660,659,2025-02-21
863,1660,774,2026-01-11
864,1660,869,2025-08-07
865,1660,1194,2026-02-14
866,1661,199,2025-06-17
867,1661,505,2025-12-03
868,1661,579,2026-03-14
869,1661,696,2025-10-27
870,1661,1402,2025-02-08
871,1662,38,2025-11-24
872,1662,1048,2025-06-05
873,1662,1437,2025-05-01
874,1663,56,2025-10-11
875,1663,882,2025-10-09
876,1664,13,2025-03-15
877,1664,126,2025-05-02
878,1664,149,2026-04-05
879,1664,249,2025-03-27
880,1664,588,2025-06-16
881,1664,595,2025-12-01
882,1664,757,2025-07-06
883,1664,952,2025-12-26
884,1664,1234,2025-05-06
885,1664,1353,2026-02-09
886,1664,1478,2025-10-23
887,1665,125,2026-03-15
888,1665,410,2026-04-03
889,1665,1042,2025-10-04
890,1665,1411,2025-04-15
891,1666,169,2025-06-13
892,1666,200,2025-10-12
893,1666,339,2026-04-27
894,1666,379,2025-06-07
895,1666,742,2025-05-17
896,1666,982,2025-08-02
897,1666,1107,2025-03-04
898,1666,1166,2025-09-08
899,1666,1499,2026-01-07
900,1667,12,2025-11-27
901,1667,38,2025-08-26
902,1667,59,2026-01-13
903,1667,157,2026-01-16
904,1667,260,2026-03-28
905,1667,455,2025-09-10
906,1667,534,2025-04-23
907,1668,156,2025-03-24
908,1668,353,2026-02-18
909,1668,398,2025-07-21
910,1668,897,2025-05-29
911,1668,1063,2025-05-07
912,1668,1264,2026-04-28
913,1668,1460,2025-01-11
914,1669,12,2025-10-20
915,1669,69,2025-06-20
916,1669,82,2025-05-14
917,1669,144,2026-03-20
918,1669,235,2025-05-10
919,1669,311,2025-10-23
920,1669,1326,2026-02-20
921,1670,11,2026-02-01
922,1670,40,2025-09-13
923,1670,260,2025-11-09
924,1670,351,2026-01-02
925,1670,680,2026-01-07
926,1670,733,2025-03-01
927,1670,815,2025-04-03
928,1671,82,2026-04-03
929,1671,214,2025-08-17
930,1671,734,2025-11-06
931,1671,1212,2026-02-27
932,1671,1412,2026-03-11
933,1672,13,2026-03-17
934,1672,56,2025-10-26
935,1672,91,2025-08-13
936,1672,796,2025-01-02
937,1672,803,2025-04-06
938,1672,1065,2025-10-20
939,1672,1132,2025-03-31
940,1672,1134,2025-08-14
941,1672,1426,2025-02-05
942,1672,1498,2025-03-24
943,1673,203,2025-01-29
944,1673,554,2025-06-19
945,1673,557,2025-05-07
946,1673,656,2025-12-08
947,1673,1326,2026-04-07
948,1674,38,2025-11-02
949,1674,87,2025-08-28
950,1674,322,2026-01-24
951,1674,905,2025-09-27
952,1675,38,2026-04-12
953,1675,175,2025-09-12
954,1675,182,2026-01-04
955,1675,203,2025-02-27
956,1675,727,2025-04-20
957,1675,961,2025-09-09
958,1675,1125,2025-12-29
959,1676,93,2026-04-04
960,1676,116,2026-02-23
961,1676,657,2025-06-17
962,1676,811,2025-03-12
963,1676,922,2025-10-24
964,1676,1447,2025-10-13
965,1677,130,2026-04-30
966,1677,163,2026-04-14
967,1677,194,2025-09-23
968,1677,780,2025-05-05
969,1678,149,2025-03-08
970,1678,267,2025-03-18
971,1678,1443,2025-01-15
972,1679,56,2026-02-20
973,1679,84,2025-12-12
974,1679,899,2026-01-21
975,1679,1251,2025-02-20
976,1679,1420,2025-03-10
977,1680,15,2026-02-11
978,1680,258,2025-07-06
979,1680,620,2025-07-23
