post_id,technology_id,required_experience_level
58,126,none
59,28,intermediate
59,24,beginner
60,2,none
60,3,beginner
60,8,none
61,28,advanced
62,8,none
62,2,intermediate
62,3,intermediate
63,46,beginner
63,42,none
64,65,none
65,73,intermediate
65,75,intermediate
66,33,none
66,31,intermediate
66,29,none
67,29,beginner
67,33,beginner
67,32,beginner
68,5,beginner
68,1,beginner
68,4,beginner
69,48,none
69,49,beginner
69,50,none
70,11,intermediate
70,14,beginner
70,18,beginner
71,14,none
71,20,beginner
71,11,advanced
72,28,none
72,23,beginner
72,25,intermediate
73,18,intermediate
73,20,beginner
73,11,none
74,42,beginner
74,36,intermediate
74,45,beginner
75,36,intermediate
75,42,none
75,38,none
76,48,none
76,54,beginner
76,56,beginner
77,23,beginner
77,22,none
77,25,none
78,43,none
78,39,none
78,36,intermediate
79,23,none
79,25,beginner
79,24,none
80,109,advanced
80,108,none
80,106,intermediate
81,127,beginner
81,124,intermediate
81,125,none
82,124,beginner
82,127,intermediate
82,125,beginner
83,117,beginner
83,118,beginner
83,119,none
84,126,intermediate
84,124,none
84,127,intermediate
85,119,advanced
85,118,intermediate
85,116,beginner
86,116,none
86,117,beginner
86,119,intermediate
87,117,beginner
87,116,beginner
87,118,beginner
88,14,intermediate
88,20,none
88,11,beginner
89,28,beginner
89,24,advanced
89,23,beginner
90,111,none
90,114,beginner
90,110,intermediate
91,76,beginner
91,78,beginner
91,77,none
92,79,beginner
92,76,none
92,77,intermediate
93,79,beginner
93,78,none
93,77,none
94,35,beginner
94,31,advanced
94,32,beginner
95,31,beginner
95,33,none
95,32,none
96,31,none
96,33,none
96,35,none
97,34,none
97,33,none
97,31,none
98,54,intermediate
98,50,none
99,24,beginner
99,26,beginner
99,25,beginner
100,137,beginner
100,135,none
100,136,none
101,109,none
101,104,beginner
101,106,beginner
102,104,beginner
102,106,none
102,107,beginner
103,106,none
103,109,intermediate
103,107,intermediate
104,37,none
104,41,none
105,23,none
105,27,none
105,28,none
106,23,beginner
106,28,none
106,27,intermediate
107,52,beginner
107,50,beginner
107,48,beginner
108,27,none
108,24,intermediate
108,25,beginner
109,24,intermediate
109,27,none
109,25,intermediate
110,24,advanced
110,27,none
110,25,beginner
111,128,beginner
111,130,none
111,134,advanced
112,130,advanced
112,128,beginner
112,134,none
113,151,none
113,154,beginner
113,150,none
114,130,none
114,134,none
114,128,advanced
115,37,none
115,42,none
115,43,none
116,42,beginner
116,37,intermediate
116,43,intermediate
117,10,intermediate
117,11,advanced
117,20,none
118,147,none
118,148,none
118,146,beginner
119,146,none
119,148,beginner
119,147,beginner
120,149,intermediate
120,146,beginner
120,148,intermediate
121,148,none
121,147,intermediate
121,146,none
122,149,none
122,146,beginner
122,148,none
123,32,beginner
123,30,beginner
123,34,beginner
124,38,beginner
124,45,intermediate
124,36,advanced
125,3,intermediate
125,4,beginner
125,5,intermediate
126,4,none
126,3,beginner
126,1,none
127,137,beginner
128,138,none
128,137,beginner
129,137,beginner
129,138,intermediate
130,137,intermediate
131,150,none
131,153,intermediate
131,152,advanced
132,37,beginner
132,47,none
132,40,none
133,24,beginner
133,25,none
133,23,beginner
134,30,none
134,31,advanced
134,33,none
135,7,advanced
135,8,beginner
135,4,none
136,24,none
136,25,beginner
136,23,beginner
137,30,beginner
137,31,intermediate
137,33,none
138,110,none
138,114,beginner
138,113,none
139,111,none
139,113,none
139,110,beginner
140,86,none
140,84,none
140,85,none
141,85,beginner
141,84,none
141,86,intermediate
142,97,none
142,98,none
142,103,none
143,86,none
143,83,beginner
143,84,beginner
144,1,none
144,7,none
144,5,intermediate
145,38,beginner
145,44,advanced
145,42,intermediate
146,38,none
146,44,none
146,42,beginner
147,8,none
147,5,beginner
147,1,beginner
148,40,beginner
148,38,none
149,38,intermediate
149,40,intermediate
150,105,none
150,109,intermediate
151,111,none
151,110,advanced
151,113,none
152,124,intermediate
152,127,advanced
153,76,none
153,78,none
153,80,none
154,68,none
154,65,none
154,67,none
155,65,intermediate
155,67,none
155,68,beginner
156,65,none
156,67,none
156,68,beginner
157,60,intermediate
157,59,intermediate
157,64,advanced
158,59,none
158,64,advanced
158,60,beginner
159,60,none
159,64,none
159,59,none
160,95,beginner
160,93,none
160,94,intermediate
161,111,none
161,115,none
161,114,beginner
162,110,beginner
162,114,beginner
162,115,none
163,109,beginner
163,107,none
163,106,beginner
164,97,none
164,100,none
164,96,beginner
165,96,none
165,100,beginner
165,97,intermediate
166,67,intermediate
166,69,none
166,65,intermediate
167,96,beginner
167,100,none
167,97,none
168,150,none
168,152,none
168,151,none
169,133,none
169,128,none
169,131,intermediate
170,128,beginner
170,131,beginner
170,133,intermediate
171,151,none
171,152,beginner
171,150,none
172,65,none
172,66,intermediate
172,70,none
173,127,beginner
173,125,advanced
173,124,intermediate
174,38,none
174,42,advanced
174,37,advanced
175,38,none
175,43,beginner
175,37,beginner
176,145,none
176,144,none
176,143,none
177,145,none
177,144,intermediate
177,142,beginner
178,151,none
178,152,beginner
178,154,none
179,145,beginner
179,143,beginner
179,141,none
180,30,intermediate
181,70,none
181,68,none
181,67,none
182,70,none
182,67,beginner
182,68,beginner
183,144,beginner
183,141,beginner
183,145,none
184,128,intermediate
185,142,none
185,141,advanced
185,145,none
186,148,none
186,146,none
186,147,none
187,146,none
187,147,none
187,149,beginner
188,21,none
188,20,beginner
188,10,beginner
189,53,intermediate
189,54,advanced
189,48,beginner
190,10,none
190,13,intermediate
190,21,advanced
191,53,advanced
191,48,beginner
191,54,none
192,21,none
192,10,none
192,20,none
193,146,beginner
193,148,none
193,149,intermediate
194,135,none
194,138,none
194,140,beginner
195,32,none
195,33,none
195,31,advanced
196,47,none
196,42,intermediate
197,74,beginner
197,73,none
197,72,none
198,72,beginner
198,74,none
198,73,none
199,73,none
199,74,beginner
199,72,none
200,144,beginner
200,141,intermediate
201,151,beginner
201,150,advanced
202,141,intermediate
203,147,none
203,149,beginner
203,148,none
204,30,intermediate
204,31,none
204,32,intermediate
205,10,beginner
205,14,beginner
205,16,none
206,14,none
206,16,beginner
206,10,beginner
207,87,beginner
207,86,beginner
207,85,beginner
208,84,none
208,87,intermediate
208,85,intermediate
209,60,none
209,62,intermediate
209,59,none
210,120,beginner
210,121,beginner
210,123,intermediate
211,120,beginner
211,123,intermediate
211,122,intermediate
212,122,none
212,120,beginner
212,121,none
213,114,none
213,111,none
213,112,intermediate
214,114,none
214,112,beginner
214,111,intermediate
215,4,none
215,3,none
215,8,none
216,103,advanced
216,100,beginner
217,74,intermediate
217,71,beginner
217,73,none
218,103,beginner
218,100,beginner
219,100,beginner
219,103,beginner
220,65,beginner
220,66,none
220,67,beginner
221,77,none
221,80,beginner
221,79,none
222,79,beginner
222,80,beginner
222,77,beginner
223,71,none
223,73,none
223,75,none
224,74,none
224,75,none
224,71,none
225,106,none
225,105,intermediate
225,109,intermediate
226,127,intermediate
226,124,beginner
226,125,beginner
227,117,none
227,118,beginner
227,119,intermediate
228,25,intermediate
228,24,beginner
228,28,beginner
229,25,beginner
229,24,intermediate
229,28,beginner
230,84,beginner
230,82,none
230,86,none
231,86,beginner
231,82,beginner
231,84,none
232,84,beginner
232,86,beginner
232,82,beginner
233,86,none
233,84,none
233,82,beginner
234,128,beginner
234,133,none
234,134,none
235,141,none
235,142,none
235,143,none
236,134,intermediate
236,133,none
236,128,beginner
237,142,beginner
237,141,advanced
237,143,beginner
238,133,beginner
238,128,none
238,134,beginner
239,52,beginner
239,54,beginner
239,56,none
240,3,none
240,1,none
240,7,none
241,3,none
241,1,none
241,7,beginner
242,23,none
242,22,beginner
242,24,none
243,36,none
243,37,none
243,42,none
244,16,intermediate
244,13,none
244,10,none
245,7,none
245,3,none
245,5,none
246,42,none
246,37,beginner
246,47,beginner
247,8,none
247,7,beginner
247,5,beginner
248,32,none
248,29,none
249,114,none
249,110,none
249,111,beginner
250,114,none
250,110,beginner
250,111,beginner
251,105,beginner
251,104,none
251,106,beginner
252,22,intermediate
252,25,none
252,23,none
253,51,beginner
253,56,intermediate
253,49,none
254,48,beginner
254,56,none
254,49,none
255,48,none
255,56,beginner
255,49,beginner
256,123,none
256,120,beginner
256,122,none
257,120,none
257,121,beginner
257,123,beginner
258,127,beginner
258,124,beginner
258,126,beginner
259,118,beginner
259,116,beginner
259,119,intermediate
260,116,none
260,118,beginner
260,119,intermediate
261,117,beginner
261,118,none
261,119,none
262,94,none
262,90,none
262,95,intermediate
263,95,beginner
263,94,intermediate
263,90,none
264,85,beginner
264,83,beginner
265,85,beginner
266,78,none
266,79,beginner
266,77,none
267,65,none
267,68,advanced
267,66,beginner
268,91,none
268,89,none
268,95,none
269,80,none
269,77,none
269,78,beginner
270,96,none
270,102,beginner
270,103,beginner
271,69,none
271,67,intermediate
271,66,beginner
272,111,none
272,115,intermediate
272,110,beginner
273,104,none
273,107,none
273,106,none
274,110,none
274,115,none
274,111,none
275,119,intermediate
275,117,intermediate
275,118,beginner
276,126,beginner
276,125,none
276,124,none
277,117,none
277,118,beginner
277,116,beginner
278,118,advanced
278,117,none
278,119,beginner
279,122,advanced
280,33,beginner
280,29,beginner
280,35,none
281,46,beginner
281,38,beginner
282,13,advanced
282,20,beginner
282,15,beginner
283,89,beginner
283,93,beginner
284,89,intermediate
284,93,none
285,100,none
285,103,beginner
285,96,none
286,89,advanced
286,93,beginner
287,73,beginner
287,74,none
287,72,beginner
288,73,intermediate
288,72,none
288,74,none
289,14,none
289,11,intermediate
289,17,beginner
290,17,none
290,14,none
290,11,beginner
291,36,none
291,37,beginner
291,45,none
292,8,none
292,3,none
292,9,beginner
293,36,none
293,45,advanced
293,37,beginner
294,54,beginner
294,48,beginner
294,55,advanced
295,48,beginner
295,55,beginner
295,54,none
296,55,intermediate
296,48,beginner
296,54,advanced
297,10,intermediate
297,12,beginner
297,20,none
298,12,beginner
298,14,intermediate
298,20,none
299,14,none
299,10,none
299,12,beginner
300,31,none
300,33,intermediate
300,30,beginner
301,20,intermediate
301,14,none
301,10,advanced
302,121,advanced
302,123,beginner
302,120,none
303,105,none
303,109,none
303,106,beginner
304,122,intermediate
304,120,beginner
304,123,none
305,123,intermediate
305,121,intermediate
305,122,beginner
306,118,none
306,117,intermediate
306,116,intermediate
307,125,beginner
307,127,intermediate
308,116,none
308,117,beginner
308,118,beginner
309,123,beginner
309,120,none
309,121,intermediate
310,69,none
310,66,intermediate
310,65,intermediate
311,96,beginner
311,97,beginner
311,101,none
312,23,beginner
312,25,intermediate
312,27,beginner
313,52,none
313,49,none
313,48,beginner
314,21,intermediate
314,10,none
315,35,intermediate
315,32,intermediate
316,124,intermediate
316,126,beginner
316,127,beginner
317,122,beginner
317,120,beginner
317,123,none
318,120,none
318,122,beginner
318,123,none
319,38,none
319,42,intermediate
319,41,none
320,41,intermediate
320,42,beginner
320,38,beginner
321,58,intermediate
322,103,none
322,96,none
322,97,none
323,93,beginner
323,89,beginner
323,95,beginner
324,95,none
324,93,intermediate
324,89,none
325,97,beginner
325,103,intermediate
325,96,none
326,60,none
326,57,none
326,62,advanced
327,23,beginner
327,24,none
327,25,none
328,27,none
328,25,none
328,24,beginner
329,10,beginner
329,11,beginner
329,20,beginner
330,27,none
330,25,advanced
330,23,intermediate
331,18,beginner
331,10,beginner
331,11,beginner
332,71,beginner
332,72,beginner
332,73,beginner
333,81,beginner
333,85,none
333,86,beginner
334,72,none
334,73,intermediate
334,71,advanced
335,42,none
335,45,none
335,44,intermediate
336,34,none
336,31,none
337,53,none
337,51,intermediate
337,54,beginner
338,34,none
338,31,intermediate
339,49,none
339,48,intermediate
339,53,none
340,28,beginner
340,24,none
340,23,none
341,106,none
341,108,advanced
342,116,none
342,117,beginner
342,119,beginner
343,108,beginner
343,106,beginner
344,110,intermediate
344,114,beginner
344,112,advanced
345,75,beginner
345,72,none
345,73,intermediate
346,72,intermediate
346,74,none
346,73,beginner
347,54,beginner
347,52,none
348,33,none
348,30,beginner
348,31,intermediate
349,30,beginner
349,31,beginner
349,33,none
350,33,intermediate
350,30,beginner
350,31,none
351,42,none
351,39,intermediate
351,38,beginner
352,88,none
352,83,none
352,86,advanced
353,95,advanced
353,93,beginner
353,94,beginner
354,95,none
354,93,none
354,94,none
355,93,beginner
355,95,beginner
355,94,beginner
356,94,intermediate
356,95,intermediate
356,93,beginner
357,75,beginner
357,72,beginner
357,74,intermediate
358,59,none
358,57,none
358,63,beginner
359,73,none
359,72,none
359,75,advanced
360,79,intermediate
360,80,beginner
360,78,none
361,72,none
361,75,beginner
361,74,beginner
362,56,beginner
362,55,beginner
362,49,beginner
363,28,advanced
363,25,beginner
363,24,none
364,11,none
364,19,none
364,14,none
365,24,none
365,25,beginner
365,28,none
366,20,none
366,17,advanced
366,11,beginner
367,50,beginner
367,54,beginner
367,56,beginner
368,30,none
368,32,beginner
368,33,beginner
369,54,beginner
369,56,beginner
369,50,intermediate
370,56,advanced
370,54,none
370,50,none
371,50,beginner
371,54,beginner
371,56,none
372,39,beginner
373,37,beginner
373,39,intermediate
374,149,beginner
374,148,none
374,147,beginner
375,26,beginner
375,23,beginner
375,28,none
376,31,none
376,32,beginner
376,34,none
377,26,none
377,23,advanced
377,28,beginner
378,120,none
378,123,intermediate
378,121,beginner
379,122,beginner
379,121,beginner
379,123,none
380,112,intermediate
381,123,none
381,121,none
381,122,none
382,134,beginner
382,131,intermediate
382,130,none
383,139,beginner
383,138,beginner
384,139,none
384,138,advanced
385,130,intermediate
385,131,none
385,134,intermediate
386,76,intermediate
386,79,beginner
386,80,beginner
387,116,intermediate
387,118,beginner
387,117,none
388,118,beginner
388,119,none
388,117,beginner
389,120,intermediate
390,127,beginner
390,125,intermediate
390,126,intermediate
391,124,advanced
391,126,beginner
391,127,intermediate
392,14,intermediate
392,18,none
392,10,beginner
393,10,none
393,18,none
393,14,intermediate
394,24,beginner
394,22,none
394,23,advanced
395,18,none
395,10,beginner
395,16,beginner
396,11,beginner
396,10,none
396,14,beginner
397,6,none
397,5,none
397,3,intermediate
398,49,none
398,56,intermediate
398,55,beginner
399,49,none
399,55,beginner
399,56,intermediate
400,55,beginner
400,49,none
400,56,none
401,22,none
401,24,none
401,25,none
402,119,none
402,117,intermediate
402,118,none
403,110,none
403,112,none
403,111,advanced
404,80,none
404,79,intermediate
404,77,none
405,57,beginner
405,60,none
405,61,beginner
406,60,none
406,57,beginner
406,61,beginner
407,107,none
407,104,none
407,106,none
408,109,none
408,106,none
408,107,beginner
409,121,none
409,122,none
409,123,none
410,58,advanced
410,57,beginner
410,59,beginner
411,100,none
411,96,beginner
411,97,none
412,57,advanced
412,58,intermediate
412,59,none
413,57,none
413,59,none
413,58,beginner
414,11,beginner
414,15,beginner
414,13,intermediate
415,54,beginner
415,52,intermediate
416,1,intermediate
416,3,none
416,2,none
417,23,none
417,27,none
417,24,none
418,3,none
418,2,none
418,1,beginner
419,107,beginner
419,109,beginner
419,104,advanced
420,111,none
420,115,none
420,110,intermediate
421,122,none
421,121,none
421,123,none
422,120,none
422,122,none
422,121,none
423,117,beginner
423,118,beginner
423,116,advanced
424,120,none
424,123,intermediate
424,122,none
425,117,none
425,118,intermediate
425,116,beginner
426,116,none
426,118,beginner
426,117,beginner
427,82,beginner
427,86,none
427,84,beginner
428,85,none
428,84,none
428,82,none
429,86,intermediate
429,84,none
429,85,beginner
430,82,beginner
430,84,beginner
430,86,intermediate
431,2,none
431,3,beginner
431,5,beginner
432,30,beginner
432,29,beginner
432,31,intermediate
433,38,intermediate
433,39,advanced
434,29,beginner
434,31,none
434,30,none
435,33,none
435,29,intermediate
435,30,none
436,37,beginner
436,42,beginner
436,47,none
437,48,none
437,56,advanced
437,53,none
438,56,none
438,51,none
438,48,beginner
439,35,none
439,31,beginner
439,32,none
440,33,none
440,35,beginner
440,31,none
441,54,none
441,48,beginner
441,55,none
442,13,beginner
442,14,none
442,12,none
443,125,beginner
443,126,advanced
443,127,beginner
444,111,intermediate
444,114,beginner
444,110,intermediate
445,122,intermediate
445,120,none
445,121,beginner
446,122,none
446,121,beginner
446,123,none
447,125,intermediate
447,126,beginner
447,124,none
448,106,none
448,105,none
448,104,none
449,127,beginner
449,126,none
449,125,intermediate
450,104,none
450,105,intermediate
450,106,beginner
451,105,none
451,104,beginner
451,106,none
452,116,beginner
452,118,advanced
452,117,none
453,119,beginner
453,116,beginner
453,118,none
454,118,none
454,117,beginner
454,116,intermediate
455,56,beginner
455,48,none
455,49,none
456,56,beginner
456,53,beginner
456,49,intermediate
457,104,none
457,106,intermediate
457,109,intermediate
458,73,beginner
458,72,intermediate
458,75,none
459,50,none
459,54,none
460,54,intermediate
460,50,beginner
461,50,intermediate
462,126,none
462,127,beginner
462,124,none
463,127,beginner
463,124,none
463,126,intermediate
464,118,none
464,116,intermediate
464,117,beginner
465,125,beginner
465,126,beginner
465,124,none
466,116,beginner
466,117,intermediate
466,119,none
467,128,intermediate
467,134,intermediate
467,131,none
468,151,beginner
468,154,none
468,150,none
469,151,beginner
469,154,advanced
469,150,intermediate
470,145,none
470,141,intermediate
470,143,intermediate
471,142,none
471,145,none
471,143,beginner
472,135,intermediate
472,136,none
472,140,beginner
473,142,beginner
473,143,beginner
473,141,beginner
474,92,intermediate
474,93,beginner
474,94,intermediate
475,80,beginner
475,77,beginner
475,76,none
476,95,none
476,92,beginner
476,89,none
477,69,none
477,67,beginner
478,81,advanced
479,81,beginner
480,61,none
480,59,intermediate
480,57,none
481,60,beginner
481,61,none
481,59,beginner
482,57,none
482,59,none
482,60,none
483,84,beginner
483,81,beginner
483,85,beginner
484,24,intermediate
484,22,none
484,25,none
485,24,intermediate
485,23,none
485,22,advanced
486,49,beginner
486,54,beginner
486,56,beginner
487,124,beginner
487,126,advanced
487,127,none
488,126,none
488,125,beginner
488,124,none
489,25,intermediate
489,24,intermediate
489,28,beginner
490,38,beginner
490,37,beginner
490,46,none
491,38,none
491,46,beginner
491,37,beginner
492,4,intermediate
492,3,none
493,2,none
493,1,beginner
493,5,intermediate
494,2,beginner
494,7,none
494,1,none
495,13,none
495,16,none
495,10,beginner
496,51,advanced
496,49,intermediate
496,54,intermediate
497,10,beginner
497,14,beginner
497,13,none
498,13,intermediate
498,16,beginner
498,14,beginner
499,13,intermediate
499,14,beginner
499,16,beginner
500,59,none
500,60,none
500,62,beginner
501,86,intermediate
501,85,none
501,84,none
502,65,none
502,67,beginner
502,66,intermediate
503,84,beginner
503,87,none
504,87,advanced
504,84,beginner
505,84,none
505,87,beginner
506,53,none
506,48,beginner
507,8,beginner
507,1,beginner
507,2,none
508,28,none
508,25,beginner
509,53,beginner
510,152,none
510,151,advanced
510,154,none
511,131,beginner
511,134,intermediate
511,128,none
512,133,advanced
512,129,advanced
512,131,intermediate
513,154,intermediate
513,152,beginner
513,151,beginner
514,134,beginner
514,131,none
514,129,intermediate
515,25,intermediate
515,26,intermediate
516,26,none
516,25,none
517,3,none
517,4,none
517,7,beginner
518,25,none
518,26,intermediate
519,30,none
519,33,none
519,31,none
520,3,intermediate
520,7,none
520,8,none
521,8,beginner
521,3,beginner
521,7,none
522,43,advanced
522,37,none
522,44,beginner
523,55,none
524,49,beginner
525,25,none
525,24,beginner
525,28,intermediate
526,56,beginner
526,54,none
526,50,intermediate
527,54,none
527,50,none
527,56,beginner
528,54,beginner
528,50,intermediate
528,56,none
529,122,intermediate
529,121,intermediate
530,122,none
530,121,none
531,108,none
531,106,beginner
531,109,advanced
532,106,none
532,109,none
532,108,beginner
533,9,intermediate
533,8,none
533,1,intermediate
534,20,advanced
534,13,beginner
534,16,none
535,44,beginner
535,39,beginner
535,42,beginner
536,44,none
536,42,beginner
536,37,none
537,20,none
537,14,none
537,16,beginner
538,67,beginner
538,65,beginner
538,66,beginner
539,56,none
539,49,beginner
539,50,none
540,12,beginner
540,13,intermediate
540,10,beginner
541,10,intermediate
541,13,beginner
541,12,none
542,6,intermediate
542,3,beginner
542,5,none
543,33,beginner
543,31,beginner
543,32,beginner
544,20,intermediate
544,19,beginner
544,13,beginner
545,19,beginner
545,20,none
545,13,intermediate
546,23,beginner
547,46,intermediate
547,44,none
547,37,none
548,44,none
548,46,beginner
548,37,beginner
549,42,intermediate
549,36,intermediate
549,38,none
550,38,beginner
550,43,beginner
550,36,none
551,48,beginner
551,55,beginner
551,54,advanced
552,55,none
552,48,beginner
552,54,beginner
553,72,beginner
553,74,none
553,73,beginner
554,72,beginner
554,74,none
554,73,beginner
555,100,beginner
555,96,none
555,97,none
556,3,beginner
556,9,beginner
556,8,none
557,23,none
557,22,none
557,24,none
558,22,none
558,25,beginner
558,23,none
559,86,none
559,84,none
559,88,none
560,88,intermediate
560,86,none
560,84,beginner
561,71,none
561,73,none
561,74,beginner
562,86,none
562,88,beginner
562,84,beginner
563,45,none
563,38,beginner
563,37,none
564,26,beginner
565,54,none
565,48,intermediate
565,53,beginner
566,49,none
566,53,beginner
566,48,intermediate
567,48,beginner
567,52,none
567,56,advanced
568,49,beginner
568,52,none
568,56,intermediate
569,25,none
569,22,none
569,24,none
570,50,none
570,54,none
570,48,none
571,22,beginner
571,24,advanced
571,25,none
572,121,intermediate
572,122,beginner
572,123,none
573,116,none
573,119,beginner
573,117,none
574,116,none
574,117,none
574,118,none
575,23,intermediate
575,24,beginner
575,25,beginner
576,19,beginner
577,1,beginner
577,7,beginner
577,5,beginner
578,19,intermediate
578,13,none
579,19,beginner
580,97,beginner
580,103,intermediate
580,96,none
581,101,beginner
581,97,beginner
581,103,none
582,103,beginner
582,97,beginner
582,101,beginner
583,111,none
583,110,none
583,114,beginner
584,105,beginner
584,108,none
584,106,none
585,109,none
585,106,none
585,105,beginner
586,47,intermediate
586,37,advanced
586,42,beginner
587,42,beginner
587,47,none
587,37,advanced
588,51,none
588,48,beginner
588,49,beginner
589,44,intermediate
589,37,intermediate
589,47,none
590,137,beginner
590,138,beginner
590,136,beginner
591,137,intermediate
591,138,none
591,135,none
592,147,intermediate
592,149,beginner
592,148,none
593,148,none
593,147,beginner
593,149,beginner
594,60,beginner
594,62,beginner
594,57,none
595,57,none
595,62,intermediate
595,60,intermediate
596,60,none
596,57,none
596,62,none
597,57,none
597,60,beginner
597,62,advanced
598,57,beginner
598,60,intermediate
598,58,none
599,65,beginner
599,67,none
599,70,none
600,40,none
600,36,none
600,42,beginner
601,52,none
601,56,none
601,48,intermediate
602,36,beginner
602,42,none
602,40,intermediate
603,135,none
603,137,beginner
603,136,none
604,137,advanced
604,135,none
604,136,beginner
605,136,advanced
605,137,beginner
605,135,beginner
606,145,advanced
606,142,intermediate
606,141,advanced
607,151,none
607,153,none
607,152,beginner
608,110,none
608,111,beginner
608,112,none
609,112,advanced
609,114,none
609,110,beginner
610,106,none
610,108,intermediate
610,109,none
611,114,beginner
611,110,beginner
611,111,none
612,114,intermediate
612,110,none
612,112,none
613,12,advanced
613,13,beginner
614,54,none
614,56,advanced
614,53,advanced
615,48,beginner
615,54,intermediate
615,56,none
616,44,none
616,37,beginner
616,40,none
617,120,none
617,123,beginner
618,93,beginner
618,89,none
618,94,intermediate
619,86,beginner
619,85,beginner
619,83,none
620,86,beginner
620,83,beginner
620,84,advanced
621,83,intermediate
621,84,beginner
621,86,beginner
622,148,beginner
622,147,beginner
622,146,none
623,120,beginner
623,121,beginner
623,123,none
624,120,none
624,123,intermediate
624,121,beginner
625,127,none
625,126,none
625,124,beginner
626,106,none
626,109,none
626,107,none
627,109,none
627,107,none
627,106,beginner
628,119,none
628,116,beginner
628,118,beginner
629,117,intermediate
629,116,advanced
629,118,none
630,116,none
630,118,none
630,119,none
631,86,beginner
631,88,beginner
631,84,beginner
632,69,intermediate
632,65,beginner
633,86,none
633,82,beginner
633,88,none
634,88,none
634,85,beginner
634,86,none
635,127,none
635,125,none
635,126,none
636,112,intermediate
636,110,beginner
636,114,beginner
637,126,none
637,125,intermediate
637,127,beginner
638,125,none
638,126,none
638,127,none
639,124,none
639,127,beginner
639,126,none
640,117,intermediate
640,119,none
640,116,none
641,125,none
641,124,intermediate
641,126,none
642,116,beginner
642,119,none
642,117,none
643,108,advanced
643,106,none
643,104,intermediate
644,112,none
644,114,none
644,111,none
645,123,none
645,120,none
646,112,beginner
646,110,beginner
646,111,beginner
647,114,beginner
647,111,none
647,112,none
648,140,intermediate
649,141,none
649,143,beginner
649,144,advanced
650,33,intermediate
650,34,advanced
650,31,beginner
651,48,beginner
651,49,advanced
651,52,none
652,19,beginner
652,10,beginner
652,13,advanced
653,13,none
653,15,intermediate
653,19,none
654,10,none
654,19,beginner
654,15,beginner
655,24,intermediate
655,23,beginner
655,26,none
656,8,beginner
656,7,none
656,5,none
657,11,beginner
657,13,advanced
657,18,intermediate
658,27,none
658,25,beginner
659,27,none
660,118,none
660,119,beginner
660,116,none
661,119,none
661,116,beginner
661,118,beginner
662,120,intermediate
662,122,none
662,123,none
663,120,beginner
663,121,none
663,123,intermediate
664,119,beginner
664,118,none
664,116,intermediate
665,117,beginner
665,119,none
665,116,advanced
666,106,none
666,104,none
666,109,intermediate
667,106,none
667,108,beginner
667,109,intermediate
668,56,beginner
668,54,beginner
668,50,none
669,26,none
669,25,beginner
669,24,none
670,25,beginner
670,26,advanced
670,24,beginner
671,50,advanced
671,56,beginner
671,54,none
672,80,none
672,76,beginner
672,79,advanced
673,93,beginner
673,92,beginner
673,95,beginner
674,80,beginner
674,76,beginner
674,79,none
675,32,beginner
675,29,beginner
676,74,beginner
676,72,intermediate
676,71,beginner
677,48,none
677,49,intermediate
677,54,none
